"","origincityLabel","origincountry","originlat","originlong","originpopulation","sistercityLabel","destinationlat","destinationlong","destinationpopulation","destination_countryLabel","dist","eu","samecountry","typecountry"
"1482","Grenoble","France",45.186944444444,5.7263888888889,160779,"Catania",37.502669444444,15.087269444444,314318,"Italy",1156,"EU","different","EU"
"1483","Bourg-de-Péage","France",45.037777777778,5.05,10137,"Verbania",45.933333333333,8.5333333333333,NA,"Italy",289,"EU","different","EU"
"1484","Troyes","France",48.298888888889,4.0780555555556,59671,"Zielona Góra",51.939722222222,15.505,138763,"Poland",908,"EU","different","EU"
"1485","Bourg-en-Bresse","France",46.204722222222,5.2280555555556,40490,"Brzeg",50.866666666667,17.483333333333,36541,"Poland",1039,"EU","different","EU"
"1486","Avignon","France",43.948611111111,4.8083333333333,90305,"Orvieto",42.716666666667,12.1,NA,"Italy",605,"EU","different","EU"
"1487","Seclin","France",50.548333333333,3.0294444444444,12571,"Zabrze",50.3,18.783333333333,179452,"Poland",1114,"EU","different","EU"
"1488","Albertville","France",45.675833333333,6.3925,19071,"Aosta",45.737222222222,7.3205555555556,34324,"Italy",72,"EU","different","EU"
"1489","Chamonix-Mont-Blanc","France",45.922222222222,6.8688888888889,8897,"Aosta",45.737222222222,7.3205555555556,34324,"Italy",41,"EU","different","EU"
"1490","Châtellerault","France",46.816944444444,0.54527777777778,31262,"Piła",53.15,16.733333333333,NA,"Poland",1350,"EU","different","EU"
"1491","Lille","France",50.631944444444,3.0575,231491,"Turin",45.066666666667,7.7,889600,"Italy",709,"EU","different","EU"
"1492","Blois","France",47.593055555556,1.3272222222222,45539,"Urbino",43.725238888889,12.6372,NA,"Italy",977,"EU","different","EU"
"1493","Wattrelos","France",50.701111111111,3.2133333333333,41522,"Siemianowice Śląskie",50.275833333333,18.985833333333,NA,"Poland",1115,"EU","different","EU"
"1494","Briey","France",49.248611111111,5.9394444444444,5757,"Szczawno-Zdrój",50.799444444444,16.255,NA,"Poland",756,"EU","different","EU"
"1495","Saint-Martin-des-Champs","France",48.576111111111,-3.8436111111111,4731,"Mielec",50.283333333333,21.433333333333,NA,"Poland",1829,"EU","different","EU"
"1496","Saint-Yrieix-sur-Charente","France",45.675277777778,0.1275,7167,"Będzino",54.20861111,15.99027778,NA,"Poland",1474,"EU","different","EU"
"1497","La Calmette","France",43.923888888889,4.2641666666667,2047,"Piaseczno",52.066666666667,21.016666666667,NA,"Poland",1535,"EU","different","EU"
"1498","Saint-André-lez-Lille","France",50.660277777778,3.0438888888889,11533,"Wieliczka",49.989444444444,20.066111111111,21878,"Poland",1208,"EU","different","EU"
"1499","Longuyon","France",49.446944444444,5.6005555555556,5523,"Żary",51.633333333333,15.133333333333,NA,"Poland",716,"EU","different","EU"
"1500","Aix-en-Provence","France",43.527777777778,5.4455555555556,141545,"Perugia",43.1121,12.3888,166548,"Italy",563,"EU","different","EU"
"1501","Douchy-les-Mines","France",50.301388888889,3.3933333333333,10964,"Mielec",50.283333333333,21.433333333333,NA,"Poland",1278,"EU","different","EU"
"1502","Saint-Germain-en-Laye","France",48.896388888889,2.0905555555556,39547,"Gmina Konstancin-Jeziorna",52.083333333333,21.116666666667,NA,"Poland",1387,"EU","different","EU"
"1503","Château-Gontier","France",47.828611111111,-0.70277777777778,11582,"Rabka-Zdrój",49.616666666667,19.966666666667,NA,"Poland",1524,"EU","different","EU"
"1504","Mont-Saint-Aignan","France",49.4625,1.0872222222222,19178,"Brzeg Dolny",51.270833333333,16.720833333333,NA,"Poland",1125,"EU","different","EU"
"1505","Givors","France",45.590555555556,4.7688888888889,19574,"Orvieto",42.716666666667,12.1,NA,"Italy",666,"EU","different","EU"
"1506","Arcachon","France",44.658611111111,-1.1688888888889,10476,"Pescara",42.464277777778,14.214188888889,120525,"Italy",1261,"EU","different","EU"
"1507","Vienne","France",45.525555555556,4.8747222222222,29325,"Piotrków Trybunalski",51.4,19.683333333333,77810,"Poland",1269,"EU","different","EU"
"1508","Charnay-lès-Mâcon","France",46.309166666667,4.7844444444444,6919,"Zbrosławice",50.41667,18.75,NA,"Poland",1126,"EU","different","EU"
"1509","Saint-Amand-Montrond","France",46.722777777778,2.505,10238,"Otwock",52.116666666667,21.266666666667,NA,"Poland",1478,"EU","different","EU"
"1510","Morlaix","France",48.5775,-3.8277777777778,15264,"Mielec",50.283333333333,21.433333333333,NA,"Poland",1828,"EU","different","EU"
"1511","Évron","France",48.155555555556,-0.4025,7107,"Alwernia",50.066666666667,19.516666666667,NA,"Poland",1461,"EU","different","EU"
"1512","Montceau-les-Mines","France",46.666944444444,4.3688888888889,18969,"Żory",50.05,18.7,NA,"Poland",1121,"EU","different","EU"
"1513","Bayeux","France",49.278611111111,-0.70388888888889,13888,"Chojnice",53.7,17.55,NA,"Poland",1351,"EU","different","EU"
"1514","Conches-en-Ouche","France",48.960555555556,0.9425,5097,"Człuchów",53.65,17.366666666667,NA,"Poland",1251,"EU","different","EU"
"1515","Le Passage","France",44.201388888889,0.60333333333333,9484,"Włoszczowa",50.854166666667,19.966944444444,NA,"Poland",1624,"EU","different","EU"
"1516","Nogent-sur-Oise","France",49.274722222222,2.4675,18753,"Kraśnik",50.916666666667,22.216666666667,NA,"Poland",1416,"EU","different","EU"
"1517","Riom","France",45.893611111111,3.1125,18675,"Żywiec",49.689166666667,19.205833333333,NA,"Poland",1271,"EU","different","EU"
"1518","Sanary-sur-Mer","France",43.119166666667,5.8022222222222,16047,"Kościerzyna",54.116666666667,17.983333333333,NA,"Poland",1511,"EU","different","EU"
"1519","Marseille","France",43.296666666667,5.3763888888889,855393,"Genoa",44.407186111111,8.9339833333333,588688,"Italy",311,"EU","different","EU"
"1520","Vierzon","France",47.221944444444,2.0683333333333,27113,"Kamienna Góra",50.816666666667,16.05,NA,"Poland",1093,"EU","different","EU"
"1521","Dijon","France",47.323055555556,5.0419444444444,153003,"Opole",50.666666666667,17.933333333333,125992,"Poland",1010,"EU","different","EU"
"1522","Ploemeur","France",47.735833333333,-3.4311111111111,18039,"Nowa Dęba",50.433333333333,21.766666666667,NA,"Poland",1850,"EU","different","EU"
"1523","Rouvroy","France",50.393611111111,2.9038888888889,8604,"Libiąż",50.116666666667,19.316666666667,NA,"Poland",1165,"EU","different","EU"
"1524","Granville","France",48.838055555556,-1.5869444444444,13104,"Chojna",52.966666666667,14.416666666667,NA,"Poland",1209,"EU","different","EU"
"1525","Saint-Rémy-sur-Avre","France",48.761388888889,1.2422222222222,3831,"Głubczyce",50.2,17.833333333333,NA,"Poland",1207,"EU","different","EU"
"1526","Rouen","France",49.443055555556,1.1025,110755,"Wejherowo",54.6,18.25,NA,"Poland",1301,"EU","different","EU"
"1527","Orange","France",44.1375,4.8088888888889,28948,"Jarosław",50.018611111111,22.679722222222,38796,"Poland",1498,"EU","different","EU"
"1528","Saint-Thégonnec","France",48.521111111111,-3.9466666666667,2666,"Mielec",50.283333333333,21.433333333333,NA,"Poland",1838,"EU","different","EU"
"1529","Château-Salins","France",48.821666666667,6.5083333333333,2438,"Kraśnik",50.916666666667,22.216666666667,NA,"Poland",1147,"EU","different","EU"
"1530","Taverny","France",49.025833333333,2.2266666666667,25875,"Nysa",50.471388888889,17.333888888889,46841,"Poland",1095,"EU","different","EU"
"1531","Sin-le-Noble","France",50.363055555556,3.1130555555556,15825,"Gmina Siechnice",51.033333333333,17.15,NA,"Poland",990,"EU","different","EU"
"1532","Annemasse","France",46.195,6.2355555555556,34261,"Sieradz",51.6,18.75,NA,"Poland",1092,"EU","different","EU"
"1533","Beauvais","France",49.434166666667,2.0875,55252,"Tczew",54.091111111111,18.786388888889,NA,"Poland",1256,"EU","different","EU"
"1534","Bressuire","France",46.84,-0.48861111111111,18962,"Parczew",51.633333333333,22.866666666667,NA,"Poland",1769,"EU","different","EU"
"1535","Nevers","France",46.9925,3.1566666666667,34841,"Siedlce",52.183333333333,22.283333333333,76585,"Poland",1489,"EU","different","EU"
"1536","Montmorillon","France",46.426111111111,0.87083333333333,6197,"Gmina Gościno",54.053611111111,15.650555555556,NA,"Poland",1346,"EU","different","EU"
"1537","Saint-Doulchard","France",47.099722222222,2.3727777777778,9295,"Darłowo",54.416666666667,16.416666666667,14183,"Poland",1276,"EU","different","EU"
"1538","Cissé","France",46.645,0.22777777777778,2651,"Strzyżów",49.883333333333,21.783333333333,NA,"Poland",1630,"EU","different","EU"
"1539","Bagneux","France",48.797777777778,2.3125,38520,"Turin",45.066666666667,7.7,889600,"Italy",582,"EU","different","EU"
"1540","Domont","France",49.0275,2.3266666666667,15339,"Wolsztyn",52.116666666667,16.116666666667,13477,"Poland",1031,"EU","different","EU"
"1541","La Couronne","France",45.6075,0.1,7466,"Pasłęk",54.05,19.666666666667,NA,"Poland",1680,"EU","different","EU"
"1542","Nogent-sur-Marne","France",48.836666666667,2.4825,31367,"Bolesławiec",51.266666666667,15.566666666667,39412,"Poland",971,"EU","different","EU"
