Obra	id	tamanho	autor	genero	aspetu	compl	oracoes	rels	passiva	imperfeito	perfeito	ppc	progressiva	maisperfeito	conjuntivo	proprios	pontu	travessao	neg	pessfem	primpess	virg	interr	excl	coords	adjs	sexo	cor	naocor	roupa	corpo	familia	dor	saude	saudegen	medicina	doenca	progressao	remedio	psico	causasaude	acessoriosaude	dizer	relato	direto	indireto	emocoes	admirar	alivio	amor	ausencia	coragem	cor.humana	desejo	desespero	esperanca	familia.dinamica	familia.lacos	feliz	furia	gen	grato	humildade	infeliz	ingrato	insatisfeito	inveja	medo	odio	orgulho	outra	pena	pred.aparencia	pred.carater	pred.emo	pred.outro	pred.social	satisfeito	saudade	saude.psico	saude.remedio	surpresa	vergonha	Acessório	Amarelo	Ausência	Azul	Blusão	Branco	Braço	Cabeça	Cabelo	Calças	CalçasCurtas	Camisola	CasacoCerimónia	CasacoCurtoHomem	CasacoCurtoMulher	CasacoImpermeável	CasacoMalha	CasacoMulher	CasacoQuenteInverno	Castanho	Chapéu	Cinzento	ConjuntoMulher	CorNãoEspecificada	CorpoNãoEspecificada	Creme	Dourado	ElementosRoupa	FatoHomem	Interno	Jaqueta	Jeans	Laranja	Materiais	Meias	Múltipla	mulher	Osso	OutrasCores	OutrasRoupas	Pele	Perna	Prateado	Preto	Rosa	RoupaDormir	RoupaInterior	RoupaNãoEspecificada	RoupaProfissional	Roxo	Saia	Sangue	Sapatos	Sexual	Tronco	unissexo	Verde	Vermelho	Vestido	corpus	data	escola	escola2	numfrases
A_Caçada_do_Malheiro	143	2925	CondFic	Prosa:conto	3	17	365	46	8	148	158	1	1	17	19	53	505	60	29	2	137	244	5	9	119	130	masc	10	4	7	41	25	0	0	0	0	0	0	0	0	0	0	39	11	9	2	26	0	6	4	0	4	0	16	2	4	0	0	10	0	0	0	0	8	0	0	0	0	0	0	2	0	0	2	2	0	0	4	0	0	0	0	0	1	0	0	1	0	3	6	14	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	8	0	2	0	0	0	0	0	0	0	0	2	0	4	0	1	1	0	Vercial	1888	desc	desc	150
A_Capital	167	136242	EcaQue	Prosa:romance	261	865	13428	1641	224	5357	4091	41	20	804	698	5749	26728	2801	861	396	4331	13414	584	2086	3909	7824	masc	527	56	743	1932	365	15	115	2	62	41	6	3	0	1	0	1928	607	391	171	3601	124	116	1292	74	108	48	956	218	350	0	30	640	568	460	84	238	730	16	66	16	396	188	264	66	66	0	16	26	0	8	280	18	56	0	328	338	92	34	62	50	0	93	353	672	117	20	0	2	8	1	6	0	0	0	12	4	98	4	0	25	53	4	27	37	1	7	9	0	0	58	7	1	0	0	11	3	31	139	0	70	12	22	1	74	14	14	28	3	37	0	159	0	25	82	59	Vercial	1925	realismo_naturalismo	realism	7854
A_capital_federal	358	48297	CoeNet	Prosa:romance	67	355	4906	737	74	784	1527	18	18	138	335	769	8595	791	427	77	2005	4347	281	375	1683	3077	masc	145	41	173	653	0	0	20	1	9	7	2	0	0	1	0	516	61	3	49	1045	56	36	302	44	60	10	200	26	84	0	2	218	116	106	28	88	236	6	22	14	132	40	92	8	22	2	12	22	0	0	76	16	10	0	100	94	18	4	10	15	0	25	103	261	23	7	0	3	1	0	0	0	0	0	1	2	24	3	0	10	26	3	3	10	0	8	0	0	0	22	3	0	0	0	2	5	3	50	0	17	4	0	0	28	1	7	2	1	15	0	44	0	12	20	3	OBras	1915	realismo	realism	2757
A_Carne	407	65690	JulRib	Prosa:romance	154	419	6630	775	151	1984	2153	11	28	385	393	1755	14172	556	570	254	1972	7198	263	271	1115	4807	masc	456	36	225	1013	0	14	82	2	13	41	15	8	2	1	0	516	39	3	35	1127	38	38	322	28	44	24	382	30	100	0	20	184	110	200	30	66	162	6	16	2	246	40	106	30	6	2	0	10	0	4	114	16	54	0	68	74	27	27	37	18	0	75	134	315	21	5	0	1	1	0	4	1	0	0	5	3	12	7	0	35	59	1	6	9	0	11	0	0	1	38	9	3	0	0	16	4	28	110	0	56	12	0	1	55	0	8	7	0	12	6	76	0	29	45	5	OBras	1888	realismo	realism	3107
A_carteira	413	1591	MacAss	Prosa:conto	7	15	205	15	0	67	98	0	0	4	11	58	312	14	27	5	70	160	12	0	74	48	masc	0	0	16	8	0	0	0	0	0	0	0	0	0	0	0	30	3	0	3	26	0	0	10	0	2	0	6	2	4	0	0	10	0	0	0	6	4	0	0	0	2	0	0	2	2	0	0	2	0	0	4	0	0	0	2	2	14	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	OBras	1884	desc	desc	97
A_carteira_de_um_neurastênico	348	61402	AntLob	Prosa:romance	134	552	5422	1245	146	1763	1075	13	11	294	658	1417	8325	339	596	233	2179	5134	283	253	2226	4331	masc	84	4	94	558	0	19	152	5	57	74	12	0	0	4	0	648	81	6	67	1382	58	54	378	40	64	2	350	48	134	0	4	188	184	136	26	124	444	10	20	16	188	64	98	12	66	2	16	50	0	0	78	6	0	0	104	102	10	4	4	6	0	18	74	238	7	6	1	0	2	0	0	0	0	0	3	1	9	0	1	7	28	0	4	8	0	1	0	0	0	8	0	0	0	0	0	1	6	33	2	18	4	0	0	16	11	3	2	1	7	0	30	0	2	3	3	OBras	1903	realismo_naturalismo	realism	2375
A_cartomante	414	3793	MacAss	Prosa:conto	14	48	501	39	12	161	221	1	0	10	31	112	714	30	42	20	123	369	12	6	163	189	masc	2	1	3	46	0	0	2	0	2	0	0	0	0	0	0	63	14	1	13	96	4	0	36	2	0	0	34	2	28	0	0	42	0	10	0	4	2	0	0	0	28	0	4	2	2	2	2	10	0	2	8	0	2	0	0	8	1	1	0	0	0	0	6	20	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	OBras	1884	desc	desc	231
A_Casa_dos_Fantasmas	701	108589	LARSil	Prosa:romance	203	753	10533	1722	266	2256	2738	20	37	237	1286	4378	17533	972	1027	365	2916	9058	655	1725	4398	5752	masc	122	16	237	1146	417	15	38	0	6	25	6	0	0	1	0	1235	107	10	93	2107	82	66	540	10	210	6	562	34	258	0	42	452	312	142	78	148	290	16	22	10	472	180	268	36	58	0	4	26	2	8	82	4	8	0	120	234	26	0	9	5	0	31	211	401	24	0	9	0	0	0	3	0	0	0	6	0	10	1	0	5	59	1	9	23	5	0	0	0	1	26	4	0	0	0	1	3	1	104	1	18	0	0	0	39	21	2	6	0	12	0	74	0	13	15	2	NOBRE	1908	romantismo	romantism	6119
A_Catástrofe	168	5449	EcaQue	Prosa:conto	4	41	489	83	19	169	79	1	1	23	27	137	953	36	34	5	182	600	3	63	165	317	masc	17	3	18	53	10	2	0	0	0	0	0	0	0	0	0	43	9	4	4	144	0	2	18	8	12	0	28	6	12	0	0	10	36	28	0	6	40	0	0	0	52	22	4	0	2	0	0	0	0	0	8	2	2	0	6	16	0	1	4	5	0	1	8	16	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	2	0	1	0	0	0	2	0	0	0	0	2	0	0	9	0	4	0	0	0	0	6	0	0	0	2	0	4	0	0	0	1	Vercial	1925	realismo_naturalismo	realism	228
A_Caveira_da_Mártir	88	135538	CamCBra	Prosa:romance	257	1626	14450	2346	418	3021	4155	44	34	673	1688	8018	21220	2411	1486	631	4647	9475	733	755	4341	6247	masc	171	40	228	981	1726	46	377	3	255	89	26	4	0	0	0	2248	654	319	338	3490	102	182	1398	24	138	6	1034	214	314	0	90	438	238	130	82	454	916	12	28	12	386	256	242	28	160	2	28	78	0	14	174	8	6	8	138	476	31	5	6	12	0	20	180	294	13	0	0	0	0	0	1	0	0	0	5	0	3	2	0	32	21	1	42	2	1	2	0	0	0	32	3	0	0	0	5	10	0	72	0	15	0	1	0	52	51	3	6	1	5	0	85	0	8	18	8	Vercial	1876	romantismo_histórico	romantism	6838
A_caverna	836	6499	JosSar	Prosa:romance	47	102	679	8	18	84	173	2	8	41	96	126	778	0	101	23	83	104	0	0	211	325	masc	3	0	0	7	25	0	3	0	2	0	0	0	1	0	0	77	21	0	21	76	0	2	16	2	2	0	38	8	16	0	0	16	8	12	0	10	4	0	2	0	10	0	6	2	0	0	0	0	0	0	6	2	0	0	8	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Pantera	2000	desc	desc	101
A_ceia_dos_cardeais	841	1266	JulDan	Teatro:teatro	0	6	97	3	0	5	13	0	0	0	8	65	280	33	14	3	42	9	0	0	27	74	masc	5	0	1	3	0	0	1	0	0	1	0	0	0	0	0	11	0	0	0	27	0	0	22	0	0	0	0	0	0	0	0	8	4	0	0	2	8	0	0	0	0	2	6	0	2	0	0	2	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	Pantera	1902	desc	desc	187
A_chave	415	7946	MacAss	Prosa:conto	20	113	1001	104	17	215	387	1	3	37	75	264	1452	174	123	54	245	561	63	40	269	360	masc	6	4	12	107	0	1	4	1	1	0	0	1	0	1	0	166	33	4	28	172	0	10	70	0	12	2	38	12	4	0	0	44	14	18	4	26	22	0	6	2	14	0	20	0	0	0	0	4	0	0	24	0	0	2	14	4	0	0	0	0	0	1	19	30	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	8	0	0	2	0	0	7	0	0	0	0	3	0	9	0	0	1	1	OBras	1879	desc	desc	530
A_chave_do_enigma	670	58183	FelCas	Prosa:romance	103	486	5090	1151	73	1206	737	7	33	135	536	1598	10015	111	582	372	2026	5796	168	361	2188	3785	masc	97	7	36	356	187	2	29	3	1	15	5	0	0	5	0	417	54	8	43	1151	58	14	666	6	64	4	172	22	98	0	24	344	38	82	38	104	152	10	6	18	76	16	174	10	40	0	2	8	0	2	162	34	0	2	46	54	6	0	2	6	0	20	67	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	7	0	21	3	0	1	0	0	0	5	1	0	0	0	0	0	0	19	4	8	5	0	0	15	1	0	0	0	0	0	17	0	16	4	5	NOBRE	1861	romantismo	romantism	1872
A_chinela_turca	416	4164	MacAss	Prosa:conto	10	41	514	67	13	131	223	0	1	17	21	101	723	68	67	10	122	321	22	25	138	220	masc	9	8	27	50	0	0	4	0	0	2	2	0	0	0	0	70	13	0	13	52	0	2	12	4	0	0	26	2	6	0	0	10	16	2	4	4	2	0	2	0	4	4	4	0	0	0	0	0	0	0	4	0	0	0	6	4	4	0	2	1	0	3	8	24	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	1	0	0	0	1	0	0	0	18	0	3	0	0	0	1	OBras	1882	desc	desc	269
A_Cidade_e_as_Serras	169	84914	EcaQue	Prosa:romance	66	440	6687	1225	87	2144	1815	7	11	477	415	3541	16108	1161	486	167	2547	8990	339	1238	3106	5278	masc	395	67	407	865	226	8	54	5	15	20	6	4	0	3	1	644	130	56	62	1600	108	66	414	16	46	16	302	108	186	0	4	404	192	160	26	124	360	6	20	2	272	36	128	20	54	0	4	8	2	4	240	8	12	0	168	104	63	35	15	24	0	71	152	254	64	6	1	1	0	0	4	2	0	0	7	0	30	15	0	15	37	1	14	19	0	2	5	0	0	56	7	1	0	0	12	1	19	70	2	89	13	10	0	55	4	3	4	0	28	4	84	0	39	32	11	Vercial	1901	desc	desc	4684
A_cidade_maravilhosa	359	45939	CoeNet	Prosa:contos	96	374	5105	912	81	937	1143	8	32	106	499	550	8499	658	614	206	1834	4350	368	320	1375	2090	masc	78	23	74	499	0	6	49	0	17	27	4	0	0	1	0	514	58	9	43	889	40	18	258	26	50	2	216	38	72	0	12	184	98	122	12	74	214	4	28	8	100	32	64	14	28	0	8	20	0	2	72	12	4	0	48	78	8	6	4	3	0	15	63	192	9	2	0	0	0	0	0	0	0	0	4	0	4	2	0	9	31	0	0	2	0	1	0	0	0	3	0	0	0	0	9	1	6	42	0	17	1	1	0	20	2	2	4	0	11	1	36	0	5	4	2	OBras	1928	realismo	realism	2937
A_Condeca_Vésper_ou_Memórias_de_um_Condenado	803	126916	AluAze	Prosa:romance	440	1149	14328	1924	308	3419	4212	23	30	466	1479	3438	22209	2052	1533	603	5880	9486	747	2704	4402	6411	masc	208	45	278	1593	860	0	141	3	60	71	4	1	0	2	0	1910	227	43	186	3453	82	104	1488	52	100	8	916	176	342	0	136	598	272	386	102	350	1078	20	46	12	332	82	230	56	100	0	16	108	0	8	224	20	30	0	170	234	41	6	26	10	0	37	274	606	27	6	0	0	2	0	1	0	0	0	3	1	38	2	0	17	61	4	8	10	0	4	0	0	0	18	4	0	0	0	5	0	5	80	0	35	16	4	0	69	9	4	4	0	16	0	122	0	4	26	12	Colonia	1882	romantismo_realismo_naturalismo	romantism	8432
A_Confissão_de_Lúcio	298	31484	MarScar	Prosa:novela	48	309	3314	500	33	1086	774	4	2	352	302	520	5865	671	388	188	2557	2608	101	236	742	1878	masc	105	34	43	232	41	20	15	0	2	13	0	0	0	0	0	419	57	22	36	751	34	8	386	4	54	6	162	28	84	0	54	102	56	92	10	34	160	0	6	10	120	14	58	14	12	0	2	0	0	6	16	18	0	0	68	46	0	9	5	11	0	8	23	77	7	0	0	3	1	0	0	0	0	0	0	0	4	4	0	14	38	0	15	2	0	1	0	0	0	5	1	0	0	0	4	5	4	25	2	9	2	0	0	10	0	5	2	0	3	0	9	0	4	12	2	Vercial	1913	modernismo	modernism	1985
A_conquista	360	31999	CoeNet	Prosa:romance	57	176	3330	393	75	993	930	3	15	80	262	948	5936	550	280	72	862	2941	227	351	1153	1921	masc	79	57	126	464	0	2	32	1	12	7	11	0	0	1	0	366	64	47	18	680	34	12	216	34	24	2	154	20	50	0	6	192	122	48	4	64	116	10	12	0	104	18	52	26	6	0	12	22	0	0	44	8	4	0	42	46	7	4	7	5	0	15	68	171	10	3	0	1	0	0	0	0	0	0	0	0	7	0	0	4	15	0	4	3	0	8	0	0	0	6	3	0	0	0	1	6	1	57	0	6	2	0	0	18	2	3	7	0	39	0	40	0	8	7	2	OBras	1899	realismo	realism	1925
A_conquista_de_Lisboa	664	94895	CarPAlm	Prosa:romance	111	921	11187	1871	407	3127	3437	34	13	294	796	4197	15056	4	1059	230	3013	6348	338	650	3348	5274	masc	70	20	92	798	478	20	16	0	2	12	1	1	0	0	0	1216	144	15	125	2231	100	42	778	18	346	8	598	94	342	0	4	374	230	168	90	272	398	0	4	8	438	106	302	18	42	0	34	60	0	4	110	8	4	0	166	94	9	0	9	3	0	15	151	275	11	0	0	0	0	2	0	0	0	0	8	1	3	0	0	11	28	0	2	2	0	2	0	0	0	11	0	0	0	0	0	3	2	50	3	14	1	1	0	34	1	1	5	0	4	0	41	0	4	3	1	NOBRE	1866	romantismo_histórico	romantism	6118
A_Corja	89	73524	CamCBra	Prosa:romance	120	984	7313	1174	165	2661	1782	16	9	572	644	6003	10588	616	731	370	1961	5667	134	201	2234	3944	masc	103	28	176	539	881	12	97	3	42	35	15	2	0	0	0	933	278	56	216	1480	66	80	550	14	84	0	422	58	108	2	66	200	118	98	40	178	382	10	28	12	116	72	130	6	76	0	14	36	0	16	94	6	2	0	80	180	30	5	5	8	0	22	90	147	13	7	0	0	0	0	2	0	0	0	1	0	8	1	0	13	11	1	1	4	4	3	0	0	0	11	3	0	0	0	0	3	1	47	0	16	3	2	0	38	9	1	9	3	15	2	70	0	10	14	5	Vercial	1880	romantismo_realismo	romantism	3241
