,1690,1700,1710,1720,1730,1740,1750,1760,1770,1780,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020
Hawaiian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,9,13,15,19,38,20,25,12,12,9,8,8,9,9,8,5,5,5
Hebrew,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,6,6,8,11,22,23,18,24,16,14,14,14,18,20,19,15,15,15
Hindi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
Hmong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1
Hungarian,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,22,34,47,60,59,56,53,53,50,39,38,24,24,24
Icelandic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1
Iloko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,8,16,20,15,15,14,14,13,4,4,4
Indonesian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,2,2,2,2,2,2
Inupiaq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Iranian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
Irish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Italian,18,18,18,18,18,18,18,18,18,18,21,21,21,21,21,24,28,31,36,52,105,169,225,247,248,237,210,203,190,179,168,50,50,49
Japanese,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,31,43,55,53,61,101,45,41,39,43,41,27,24,23
Khmer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1
Korean,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,37,37,37,38,41,40,40,53,60,59,55,55,53
Kurdish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Ladino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,8,6,6,4,4,4,4,4,1,1,1
Latvian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,9,7,6,7,7,7,8,6,6,3,3,3
Lithuanian,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,8,17,19,38,40,38,40,40,39,39,40,38,25,24,24
Macedonian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2
Malayalam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,3,6,6,6,6
Marathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2
Mohawk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Multiple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1
Navajo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,1,1,1
Negidal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No Linguistic Content,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Northwest Alaska Inupiatun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwegian,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,10,16,25,39,73,104,74,69,60,52,43,36,36,33,32,30,12,10,9
Panjabi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2
Persian,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,10,10,10,10,11,11,11,15,16,24,27,28,28
Polish,7,7,7,7,7,7,7,7,7,7,14,14,14,14,14,14,14,16,18,36,107,130,154,156,168,164,151,149,145,140,141,62,61,61
Portuguese,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,6,18,18,26,33,30,24,22,27,31,36,32,16,16,16
