topic1,topic2
0.18496,0.12842
0.29231,0.060872
0.019046,0.10965
0.024295,0.10043
0.046338,0.26978
0.038247,0.015768
0.095712,0.048461
0.1306,0.057856
0.085983,0.018567
0.0093203,0.050267
0.077219,0.032247
0.086677,0.14776
0.027209,0.083419
0.084321,0.16927
0.040185,0.12216
0.091909,0.073107
0.025548,0.1612
0.019266,0.077931
0.11252,0.18116
0.28994,0.076422
