year,state,population
1930,Washington,1563396
1930,West Virginia,1729205
1930,Wisconsin,2939006
1930,Wyoming,225565
1940,Alabama,2832961
1940,Alaska Territory,72524
1940,Arizona,499261
1940,Arkansas,1949387
1940,California,6907387
1940,Colorado,1123296
1940,Connecticut,1709242
1940,Delaware,266505
1940,District Of Columbia,663091
1940,Florida,1897414
1940,Georgia,3123723
1940,Hawaii Territory,422770
1940,Idaho,524873
1940,Illinois,7897241
1940,Indiana,3427796
1940,Iowa,2538268
1940,Kansas,1801028
1940,Kentucky,2845627
1940,Louisiana,2363880
1940,Maine,847226
1940,Maryland,1821244
1940,Massachusetts,4316721
1940,Michigan,5256106
1940,Minnesota,2792300
1940,Mississippi,2183796
1940,Missouri,3784664
1940,Montana,559456
1940,Nebraska,1315834
1940,Nevada,110247
1940,New Hampshire,491524
1940,New Jersey,4160165
1940,New Mexico,531818
1940,New York,13479142
1940,North Carolina,3571623
1940,North Dakota,641935
1940,Ohio,6907612
1940,Oklahoma,2336434
1940,Oregon,1089684
1940,Pennsylvania,9900180
1940,Rhode Island,713346
1940,South Carolina,1899804
1940,South Dakota,642961
1940,Tennessee,2915841
1940,Texas,6414824
1940,Utah,550310
1940,Vermont,359231
1940,Virginia,2677773
1940,Washington,1736191
1940,West Virginia,1901974
1940,Wisconsin,3137587
1940,Wyoming,250742
1950,Alabama,3061743
1950,Alaska Territory,128643
1950,Arizona,749587
1950,Arkansas,1909511
1950,California,10586224
1950,Colorado,1325089
1950,Connecticut,2007280
1950,Delaware,318085
1950,District Of Columbia,802178
1950,Florida,2771305
1950,Georgia,3444578
1950,Hawaii Territory,499794
1950,Idaho,588637
1950,Illinois,8712176
1950,Indiana,3934224
1950,Iowa,2621073
1950,Kansas,1905299
1950,Kentucky,2944806
1950,Louisiana,2683516
1950,Maine,913774
1950,Maryland,2343001
1950,Massachusetts,4690514
1950,Michigan,6371766
1950,Minnesota,2982483
1950,Mississippi,2178914
1950,Missouri,3954653
1950,Montana,591024
1950,Nebraska,1325510
1950,Nevada,160083
1950,New Hampshire,533242
1950,New Jersey,4835329
1950,New Mexico,681187
1950,New York,14830192
1950,North Carolina,4061929
1950,North Dakota,619636
1950,Ohio,7946627
1950,Oklahoma,2233351
1950,Oregon,1521341
1950,Pennsylvania,10498012
1950,Rhode Island,791896
1950,South Carolina,2117027
1950,South Dakota,652740
1950,Tennessee,3291718
1950,Texas,7711194
1950,Utah,688862
1950,Vermont,377747
1950,Virginia,3318680
1950,Washington,2378963
1950,West Virginia,2005552
1950,Wisconsin,3434575
1950,Wyoming,290529
1960,Alabama,3266740
1960,Alaska,226167
1960,Arizona,1302161
1960,Arkansas,1786272
1960,California,15717204
1960,Colorado,1753947
1960,Connecticut,2535234
1960,Delaware,446292
1960,District Of Columbia,763956
1960,Florida,4951560
1960,Georgia,3943116
1960,Hawaii,632772
1960,Idaho,667191
1960,Illinois,10081158
1960,Indiana,4662498
1960,Iowa,2757537
1960,Kansas,2178611
1960,Kentucky,3038156
1960,Louisiana,3257022
1960,Maine,969265
1960,Maryland,3100689
1960,Massachusetts,5148578
1960,Michigan,7823194
1960,Minnesota,3413864
1960,Mississippi,2178141
1960,Missouri,4319813
1960,Montana,674767
1960,Nebraska,1411330
1960,Nevada,285278
1960,New Hampshire,606921
1960,New Jersey,6066782
1960,New Mexico,951023
1960,New York,16782304
1960,North Carolina,4556155
1960,North Dakota,632446
1960,Ohio,9706398
1960,Oklahoma,2328284
1960,Oregon,1768687
1960,Pennsylvania,11319366
1960,Rhode Island,859488
1960,South Carolina,2382594
1960,South Dakota,680514
1960,Tennessee,3567089
1960,Texas,9579678
1960,Utah,890627
1960,Vermont,389881
1960,Virginia,3966949
1960,Washington,2853214
1960,West Virginia,1860421
1960,Wisconsin,3951777
1960,Wyoming,330066
1970,Alabama,3444165
1970,Alaska,300382
1970,Arizona,1770900
1970,Arkansas,1923295
1970,California,19953134
1970,Colorado,2207259
1970,Connecticut,3031709
1970,Delaware,548104
1970,District Of Columbia,756510
1970,Florida,6789443
1970,Georgia,4589575
1970,Hawaii,768561
1970,Idaho,712567
1970,Illinois,11113976
1970,Indiana,5193669
1970,Iowa,2824376
1970,Kansas,2246578
1970,Kentucky,3218706
1970,Louisiana,3641306
1970,Maine,992048
1970,Maryland,3922399
1970,Massachusetts,5689170
1970,Michigan,8875083
1970,Minnesota,3804971
1970,Mississippi,2216912
1970,Missouri,4676501
1970,Montana,694409
1970,Nebraska,1483493
1970,Nevada,488738
1970,New Hampshire,737681
1970,New Jersey,7168164
1970,New Mexico,1016000
1970,New York,18236967
1970,North Carolina,5082059
1970,North Dakota,617761
1970,Ohio,10652017
1970,Oklahoma,2559229
1970,Oregon,2091385
1970,Pennsylvania,11793909
1970,Rhode Island,946725
