companyId:ID(Company),name
174,MONTREAL WATER AND POWER
175,ALGOMA COMMERCIAL
176,CANADA IRON CORPORATION
177,DRUMMOND MCCALL AND COMPANY IRON AND STEEL MERCHANTS
178,WESTERN CANADA POWER
179,ALGOMA EASTERN RAILWAY
180,ALGOMA STEEL
181,DRUMMOND MINES
182,LENNOXVILLE WATERWORK
183,COCKSHUTT PLOW
184,SASKATOON PIANO
185,STINSON REEB BUILDERS SUPPLY
186,HALIFAX BOARD OF TRADE
187,NOVA SCOTIA CAR WORKS
188,HEWSON PURE WOOL TEXTILES
189,HALIFAX COLD STORAGE
190,WENTZELLS
191,NOVA SCOTIA FIRE INSURANCE
192,TRURO PUBLISHING
193,ACADIA SUGAR REFINING
194,SYDNEY PRESSED BRICK
195,CANADA WOOD SPECIALTY
196,MUNN LUMBER
197,TUDHOPE CARRIAGE
198,JOHN W PECK AND COMPANY
199,TRIBUNE PUBLISHING
200,CANADA STARCH
201,RITZ CARLTON HOTEL
202,CANADIAN COTTONS
203,COMMERCIAL CABLE
204,C MEREDITH AND COMPANY
205,CONSOLIDATED MINING AND SMELTING COMPANY OF CANADA
206,DOMINION EXPRESS
207,CALEDONIA SPRINGS
208,LAURENTIDE
209,WEST KOOTENAY POWER AND LIGHT
210,PENMANS
211,NORTH MONTREAL LAND
212,WINDSOR HOTEL
213,BUSINESS SYSTEMS
214,BELL TELEPHONE COMPANY OF CANADA
215,CONSUMERS' CORDAGE
216,ALEX MCARTHUR AND COMPANY
217,CANADIAN LIGHT AND POWER
218,SHEDDEN FORWARDING
219,GREENSHIELDS
220,CANADA SYNDICATE
221,LAKE OF THE WOODS MILLING
222,QUEBEC RAILWAY LIGHT HEAT AND POWER
223,CANADA NORTH WEST LAND
224,MONTREAL STOCK EXCHANGE
225,WAYAGAMACK PULP AND PAPER
226,DOMINION BRIDGE
227,MONTREAL TRAMWAYS AND POWER
228,NATIONAL BRIDGE COMPANY OF CANADA
229,MCINTYRE SON AND COMPANY
230,ALLIS CHALMERS BULLOCK
231,MONTREAL CITY AND DISTRICT SAVINGS BANK
232,BANK OF NEW BRUNSWICK
233,R P AND W F STARR
234,JOHN FENDERSON AND COMPANY
235,LOUISON LUMBER
236,MANUFACTURERS LIFE INSURANCE
237,JOHN MILLEN AND SON
238,POWER ECONOMIES
239,LA PUBLICITE
240,LAPORTE AND CIE
241,WESTERN TRUST
242,NATIONAL PAVING AND CONTRACTING
243,LEITCH COLLIERIES
244,ARNETT FURNITURE
245,TRINIDAD ELECTRIC
246,DEMERARA ELECTRIC
247,NOVA SCOTIA STEEL AND COAL
248,VALLEY BRICK AND TILE
249,CAMAEUEY
250,LLOYDMINSTER AND DISTRICT CREAMERY
251,KISBEY FARMER'S ELEVATOR
252,ROBERT SIMPSON
253,ELECTRICAL DEVELOPMENT COMPANY OF ONTARIO
254,OTTAWA CAR
255,TORONTO SAVINGS AND LOAN
256,TORONTO AND NIAGARA POWER
257,AHEARN AND SOPER
258,LONDON ELECTRIC
259,WALLACE REALTY
260,IMPERIAL GUARANTEE AND ACCIDENT INSURANCE COMPANY OF CANADA
261,OTTAWA LIGHT HEAT AND POWER
262,CANADA FOUNDRY
263,CANADIAN WESTINGHOUSE
264,MOOSE JAW ELECTRIC RAILWAY
265,PROVIDENT INVESTMENT
266,CANADIAN LOCOMOTIVE
267,CANADA CYCLE AND MOTOR COMPANY JLMTTED
268,UNION BANK OF CANADA
269,UNION TRUST
270,WESTERN STEEL AND IRON
271,DRYDEN TIMBER AND POWER
272,LANDED BANKING AND LOAN
273,ANGLO AMERICAN FIRE INSURANCE
274,EMPIRE LOAN
275,FOREST CITY BENT GOODS
276,PEOPLE'S LOAN AND SAVINGS CORPORATION
277,BATTLE CREEK TOASTED CORN FLAKE
278,DOMINION SALT
279,CLEVELAND SARNIA SAW MILLS
280,SUPREME HEATING
281,TAYLOR AND PRINGLE
282,C H CATELLI
283,SMART BAG
284,PROVINCIAL BANK OF CANADA
285,CROWN TRUST
286,CANADIAN PHOENIX INSURANCE
287,NORTH WEST FIRE INSURANCE
288,CANADIAN FIRE INSURANCE
289,WINNIPEG BOARD OF TRADE
290,LA PRESSE PUBLISHING
291,BANK OF TORONTO
292,STANDARD MICA
293,WATERLOO MANUFACTURING
294,CANADA TRUST
295,HURON AND ERIE LOAN AND SAVINGS
296,BEARDMORE BELTING
297,ONTARIO BARK
298,ACTON TANNING
299,PLAYFAIR PRESTON
300,MIDLAND LUMBER
301,CANADIAN OIL COMPANIES
302,EMPIRE LUMBER
303,HENDERSON PUBLISHING
304,HENDERSON DIRECTORIES
305,SLATER SHOE
306,A MCKIM
307,BANWELL HOXIE WIRE FENCE
308,SCHACHT MOTOR CAR COMPANY OF CANADA
309,CANADIAN FLAX MILLS
310,LIVERPOOL AND LONDON AND GLOBE INSURANCE
311,ALBERTA RAILWAY AND IRRIGATION
312,GUARANTEE COMPANY OF NORTH AMERICA
313,BRANTFORD CARRIAGE
314,SANDERSON HAROLD
315,ROYAL LOAN AND SAVINGS
316,SCHULTZ BROTHERS
317,BRANTFORD TRUST
318,BRANTFORD ROOFING
319,BRANTFORD EMERY WHEEL
320,HENRY BIRKS AND SONS
321,HORWOOD LUMBER
322,NEWFOUNDLAND CLOTHING FACTORY
323,BISHOP SONS AND COMPANY
324,COMMERCIAL CEMENT
325,ALSIP BRICK TILE AND LUMBER
326,F B MCCURDY AND COMPANY
327,MARITIME TELEGRAPH AND TELEPHONE
328,STANFIELD'S
329,MACLEOD PULP
330,NORRIS GRAIN AND ELEVATOR
331,HOME INVESTMENT AND SAVINGS ASSOCIATION
332,RAINY RIVER INTERNATIONAL TELEPHONE
333,SLEEMAN AND SONS
334,IVES MODERN BEDSTEAD
335,CORNWALL BOARD OF TRADE
336,GENERAL FIRE EQUIPMENT
337,BENNETT AND WRIGHT
338,WESTERN CANADA FLOUR MILLS
339,DOMINION RADIATOR
340,JOHN HARRISON AND SONS
341,TELFER BROTHERS
