A_selva	195	FerCas	195	100.00
Justiça_de_Sua_Majestade	195	JulDin	195	100.00
Providência	194	AugSar	194	100.00
O_Marquês_da_Bacalhoa	192	AntAlb	192	100.00
Noites_de_Sintra	190	AlbPim	190	100.00
Infaustas_Aventuras_de_Mestre_Marçal_Estouro:_Vítima_duma_paixão	190	JosSMLea	190	100.00
Um_conto_português:_episódio_da_guerra_civil:_a_Maria_da_Fonte	184	MJTM	184	100.00
O_Brasileiro_Soares	181	LuiMag	181	100.00
Amor_crioulo	178	AbeBot	178	100.00
Mistérios_de_Lisboa_I	170	CamCBra	170	100.00
As_Minas_de_Salomão	169	EcaQue	169	100.00
Os_Brilhantes_do_Brasileiro	162	CamCBra	162	100.00
Os_miseráveis_da_aristocracia	162	PerVar	162	100.00
El-rei_dinheiro	162	ArnGam	162	100.00
Um_Homem_de_Brios	160	CamCBra	160	100.00
Os_selvagens	160	FraGAmo	160	100.00
Amanhã	159	AbeBot	159	100.00
Ambições	153	AnaCO	153	100.00
Os_Bravos_do_Mindelo	148	FauFon	148	100.00
O_mundo_no_ano_3000	147	PJSM	147	100.00
Cenas_da_Foz	147	CamCBra	147	100.00
A_Doida_do_Candal	140	CamCBra	140	100.00
Matilde	139	AnMRSa	139	100.00
Vencido	138	FAMFM	138	100.00
A_chave_do_enigma	133	FelCas	133	100.00
O_Conde_de_S._Luís	132	TomMel	132	100.00
O_olho_de_vidro:_romance_histórico	125	CamCBra	125	100.00
Lisboa_no_ano_2000	123	MelMat	123	100.00
A_infâmia_de_Frei_Quintino	119	UrbLou	119	100.00
Vulcões_de_Lama	119	CamCBra	119	100.00
Dramas_da_corte	118	AlbOCas	118	100.00
Margarida	114	JulLPin	114	100.00
A_Infanta_Capelista	113	CamCBra	113	100.00
Alves_e_Companhia	112	EcaQue	112	100.00
Decameron	111	VirCA	111	100.00
O_Romance_da_Rainha_Mercedes	111	AlbPim	111	100.00
Os_Fidalgos_da_Casa_Mourisca	108	JulDin	108	100.00
Helena_(AG)	107	AlmGar	107	100.00
Os_Brâmanes	103	FraLGom	103	100.00
O_Que_Fazem_Mulheres	93	CamCBra	93	100.00
Uma_Eleição_Perdida	91	CondFic	91	100.00
A_Marquesa_de_Vale_Negro	90	MarONei	90	100.00
O_médico_do_deserto	90	JosJRBas	90	100.00
Herança_de_lágrimas	89	LopSou	89	100.00
A_Freira_no_Subterraneo	89	CamCBra	89	100.00
Tempestades_do_Coração	88	MatMor	88	100.00
A_morte_vence	88	JoJoGra	88	100.00
A_Confissão_de_Lúcio	88	MarScar	88	100.00
O_Pároco_de_Aldeia	86	AleHer	86	100.00
Elvenda,_ou_Conquista_de_Coimbra_por_Fernando_Magno	84	ManCPCou	84	100.00
O_Dr._Luís_Sandoval	78	AliMod	78	100.00
Lisboa_no_Ano_Três_Mil	76	CanFig	76	100.00
O_frade_arrábido:_romance_histórico_do_século_XVIII	73	OliMas	73	100.00
O_Galego	71	AleHer	71	100.00
O_Solar_dos_Pavões	62	VirCA	62	100.00
A_Divorciada	51	JosAVie	51	100.00
A_Lenda_da_Meia-Noite	50	PinCha	50	100.00
Adelina	48	AnaPla	48	100.00
A_engomadeira:_novela_vulgar_lisboeta	48	AlmNeg	48	100.00
O_Cristão_novo	48	DiodMac	48	100.00
A_senhora_viscondessa	47	MagLim	47	100.00
Ele	46	ClaCam	46	100.00
As_apreensões_de_uma_mãe	45	JulDin	45	100.00
As_noites_do_asceta	44	AlbPim	44	100.00
O_futuro_à_janela	43	LuiFSil	43	100.00
As_Pupilas_do_Senhor_Reitor	42	JulDin	42	100.00
O_piolho_viajante:_Viagens_em_mil_e_uma_carapuças	42	PolSil	42	100.00
A_vida_por_um_prejuízo	42	AliPes	42	100.00
Cristo_não_volta	40	AlbPim	40	100.00
Ao_de_leve	38	BriCam	38	100.00
A_Rosa_do_Adro	38	ManMRod	38	100.00
O_Tio_João_Gil	38	FraBLob	38	100.00
