A_Relíquia	104043	EcaQue	PT	1887	1880	104043	100.00
Simá:_Romance_Histórico_do_Alto_Amazonas	101629	LouAma	BR	1899	1890	101629	100.00
História_do_Romantismo_em_Portugal_II	101271	TeoBra	PT	1880	1880	101271	100.00
A_selva	101045	FerCas	PT	1930	1930	101045	100.00
Ao_correr_da_pena	100860	JosdAle	BR	1854	1850	100860	100.00
Os_Sertões_II	100825	EucCun	BR	1902	1900	100825	100.00
Amor_crioulo	100485	AbeBot	PT	1919	1910	100485	100.00
Mocidade_morta	100194	LuiGDEst	BR	1899	1890	100194	100.00
Curso_de_Literatura_Portuguesa	99871	CamCBra	PT	1876	1870	99871	100.00
Corte_na_Aldeia	98885	FraRLob	PT	1618	1610	98885	100.00
As_Lendas_Cristãs	97539	TeoBra	PT	1892	1890	97539	100.00
A_geração_nova	97194	SamBru	PT	1886	1880	97194	100.00
A_vida_em_Lisboa	97117	JulCMac	PT	1858	1850	97117	100.00
Fábulas_(FMN)	96363	FilEli	PT	1819	1810	96363	100.00
A_conquista_de_Lisboa	96253	CarPAlm	PT	1866	1860	96253	100.00
O_paroara:_scenas_da_vida_cearense_e_amazonica	95874	RodThe	BR	1899	1890	95874	100.00
A_ermida_de_Castromino	95782	AntATVas	PT	1870	1870	95782	100.00
Os_Meus_Amores	95742	TriCoe	PT	1891	1890	95742	100.00
Prosas_Bárbaras	95723	EcaQue	PT	1903	1900	95723	100.00
O_Cortiço	95563	AluAze	BR	1890	1890	95563	100.00
O_mundo_no_ano_3000	95465	PJSM	PT	1895	1890	95465	100.00
Dicionário_de_Milagres	94741	EcaQue	PT	1900	1900	94741	100.00
Ambições	94572	AnaCO	PT	1903	1900	94572	100.00
Quincas_Borba	93268	MacAss	BR	1886	1880	93268	100.00
Sermões_Maria_Rosa_Mística	93010	AntVie	PT	1686	1680	93010	100.00
Versos_Tomo_III	91928	FilEli	PT	1817	1810	91928	100.00
Onde_Esta_a_Felicidade	91235	CamCBra	PT	1856	1850	91235	100.00
A_afilhada	90831	MandOPai	BR	1899	1890	90831	100.00
Transviado	90542	JayMLim	PT	1899	1890	90542	100.00
A_Filha_do_Arcedíago	90341	CamCBra	PT	1854	1850	90341	100.00
Canaã	90185	GraAra	BR	1902	1900	90185	100.00
Teatro,_Antônio_Ferreira	89826	AntFer	PT	1528	1520	89826	100.00
O_Matuto	88636	FraTav	BR	1878	1870	88636	100.00
Senhora	88502	JosdAle	BR	1875	1870	88502	100.00
Turbilhão	88384	CoeNet	BR	1904	1900	88384	100.00
Inverno_em_flor	87856	CoeNet	BR	1897	1890	87856	100.00
A_falência	87522	JulLAlm	BR	1901	1900	87522	100.00
Tempestades_do_Coração	87447	MatMor	PT	1867	1860	87447	100.00
A_bico_de_pena	87063	CoeNet	BR	1904	1900	87063	100.00
Contos_(EQ)	86648	EcaQue	PT	1902	1900	86648	100.00
O_Egipto	86418	EcaQue	PT	1926	1920	86418	100.00
Histórias_para_gente_alegre:_A_família_Agulha	86226	LuiGuiJ	BR	1870	1870	86226	100.00
Esaú_e_Jacó	86189	MacAss	BR	1904	1900	86189	100.00
Sonhos_dOuro	85833	JosdAle	BR	1872	1870	85833	100.00
Treva	85594	CoeNet	BR	1905	1900	85594	100.00
Providência	85545	AugSar	PT	1863	1860	85545	100.00
O_agitador	85525	ForCPin	PT	1906	1900	85525	100.00
A_Cidade_e_as_Serras	85495	EcaQue	PT	1901	1900	85495	100.00
Maria_Dusá	84785	LinRoc	BR	1910	1910	84785	100.00
O_último_cartuxo_da_Scala_Caeli_de_Évora:_Romance_histórico_(1808-1865)	84778	AntFBar	PT	1891	1890	84778	100.00
Os_Sertões_I	84677	EucCun	BR	1902	1900	84677	100.00
Obras_Vol._II	84520	DomRqui	PT	1766	1760	84520	100.00
O_príncipe_com_orelhas_de_burro	83908	JosReg	PT	1942	1940	83908	100.00
O_trovador_da_infanta	82996	OliMas	PT	1906	1900	82996	100.00
A_guerrilha_de_Frei_Simão	82884	AlbPim	PT	1895	1890	82884	100.00
Viagens_na_Minha_Terra	82577	AlmGar	PT	1846	1840	82577	100.00
À_margem_da_história	82417	EucCun	BR	1909	1900	82417	100.00
O_gaúcho	82257	JosdAle	BR	1870	1870	82257	100.00
O_Monge_de_Cister_II	81957	AleHer	PT	1848	1840	81957	100.00
Febo_Moniz	81683	OliMar	PT	1867	1860	81683	100.00
O_agonizar_de_uma_dinastia	80982	EduNor	PT	1908	1900	80982	100.00
As_Mulheres_de_Mantilha	80596	JMdM	BR	1870	1870	80596	100.00
História_da_Inquisição_II	80416	AleHer	PT	1857	1850	80416	100.00
Triste_Fim_de_Policarpo_Quaresma	80201	LimBar	BR	1911	1910	80201	100.00
Novelas_do_Minho_I	80098	CamCBra	PT	1875	1870	80098	100.00
Mistério_da_Estrada_de_Sintra	79871	EcaQue	PT	1870	1870	79871	100.00
Os_Caramurús:_romance_histórico_da_descoberta_e_independência_do_Brasil	79839	LobAvi	PT	1900	1900	79839	100.00
Água_de_Juventa	79559	CoeNet	BR	1905	1900	79559	100.00
O_Mistério_da_Estrada_de_Sintra	79301	ROEQ	PT	1870	1870	79301	100.00
Mistérios_de_Lisboa_I	78869	CamCBra	PT	1854	1850	78869	100.00
Dom_Casmurro	78792	MacAss	BR	1899	1890	78792	100.00
Mistérios_de_Lisboa_III	78632	CamCBra	PT	1854	1850	78632	100.00
O_selo_da_roda	78269	PedIvo	PT	1876	1870	78269	100.00
História_da_Inquisição_I	78127	AleHer	PT	1854	1850	78127	100.00
Mistérios_de_Lisboa_II	77684	CamCBra	PT	1854	1850	77684	100.00
A_Marquesa_de_Santos	77284	PauSet	BR	1925	1920	77284	100.00
Os_Lusíadas	77103	LuidCam	PT	1572	1570	77103	100.00
Crónica_do_Felicíssimo_Rei_D._Manuel_Parte_II	77019	DamGoi	PT	1567	1560	77019	100.00
Às_quintas	77005	CoeNet	BR	1924	1920	77005	100.00
Aventuras_de_Diófanes	76905	TMSO	PT	1777	1770	76905	100.00
Novelas_do_Minho_II	76751	CamCBra	PT	1877	1870	76751	100.00
Miragem	76388	CoeNet	BR	1895	1890	76388	100.00
In_Illo_Tempore	76166	TriCoe	PT	1902	1900	76166	100.00
Húmus	76117	RauBra	PT	1919	1910	76117	100.00
O_Arco_de_Santana	75566	AlmGar	PT	1845	1840	75566	100.00
As_minas_de_prata	75216	JosdAle	BR	1862	1860	75216	100.00
Luzia_Homem	75209	DomOli	BR	1903	1900	75209	100.00
Luzia-Homem	75127	DomOli	BR	1903	1900	75127	100.00
História_da_Inquisição_III	74643	AleHer	PT	1859	1850	74643	100.00
A_morte_vence	74518	JoJoGra	PT	1916	1910	74518	100.00
Memórias_I	73987	RauBra	PT	1919	1910	73987	100.00
A_Alma_Encantadora_das_Ruas	73712	JoadRio	BR	1807	1800	73712	100.00
A_Corja	73655	CamCBra	PT	1880	1880	73655	100.00
História_do_Romantismo_em_Portugal_I	73416	TeoBra	PT	1880	1880	73416	100.00
Memórias_póstumas_de_Brás_Cubas	73090	MacAss	BR	1881	1880	73090	100.00
O_bandido_do_Rio_das_Mortes	73045	BerGui	BR	1905	1900	73045	100.00
14_de_julho_na_roça	72809	RauPom	BR	1883	1880	72809	100.00
A_Normalista	72777	AdoCam	BR	1893	1890	72777	100.00
O_Abolicionismo	72514	JoaNab	BR	1883	1880	72514	100.00
O_Ateneu	72456	RauPom	BR	1888	1880	72456	100.00
Uma_Campanha_Alegre_I	72373	EcaQue	PT	1890	1890	72373	100.00
Obras_Vol._I	71892	DomRqui	PT	1766	1760	71892	100.00
Recordações_do_escrivão_Isaías_Caminha	71590	LimBar	BR	1909	1900	71590	100.00
Flor_de_sangue	71575	ValMag	BR	1897	1890	71575	100.00
Um_conto_português:_episódio_da_guerra_civil:_a_Maria_da_Fonte	71400	MJTM	PT	1873	1870	71400	100.00
Da_parte_d'el-rei	70943	AMCunSa	PT	1873	1870	70943	100.00
Romance_dum_Homem_Rico	70793	CamCBra	PT	1861	1860	70793	100.00
As_Minas_de_Salomão	70536	EcaQue	PT	1891	1890	70536	100.00
Céu_em_Fogo	70265	MarScar	PT	1914	1910	70265	100.00
A_Filha_do_Doutor_Negro	70257	CamCBra	PT	1864	1860	70257	100.00
Textos_varios_Parte_2	70180	GreMat	BR	1650	1650	70180	100.00
Livro_de_Consolação	70151	CamCBra	PT	1872	1870	70151	100.00
A_infâmia_de_Frei_Quintino	70015	UrbLou	PT	1878	1870	70015	100.00
Um_Homem_de_Brios	69946	CamCBra	PT	1856	1850	69946	100.00
Maria_da_Fonte	69828	CamCBra	PT	1884	1880	69828	100.00
O_Bobo	69699	AleHer	PT	1843	1840	69699	100.00
O_Monge_de_Cister_I	69688	AleHer	PT	1848	1840	69688	100.00
