A_Morgadinha_dos_Canaviais	205	JulDin	PT	205	100.00
As_Praias_de_Portugal._Guia_do_Banhista_e_do_Viajante	204	RamOrt	PT	204	100.00
Quincas_Borba	199	MacAss	BR	199	100.00
Rei_negro	198	CoeNet	BR	198	100.00
Uma_Campanha_Alegre_I	197	EcaQue	PT	197	100.00
A_luta	196	EmiBdM	BR	196	100.00
A_Brasileira_de_Prazins	195	CamCBra	PT	195	100.00
A_selva	195	FerCas	PT	195	100.00
Os_Meus_Amores	195	TriCoe	PT	195	100.00
Ambições	194	AnaCO	PT	194	100.00
14_de_julho_na_roça	194	RauPom	BR	194	100.00
Treva	193	CoeNet	BR	193	100.00
A_Filha_do_Arcedíago	192	CamCBra	PT	192	100.00
Miragem	190	CoeNet	BR	190	100.00
Memórias_póstumas_de_Brás_Cubas	190	MacAss	BR	190	100.00
O_Guarani	190	JosdAle	BR	190	100.00
A_bico_de_pena	185	CoeNet	BR	185	100.00
A_infâmia_de_Frei_Quintino	185	UrbLou	PT	185	100.00
As_Mulheres_de_Mantilha	184	JMdM	BR	184	100.00
A_Intrusa	184	JulLAlm	BR	184	100.00
Anátema	183	CamCBra	PT	183	100.00
Os_Bravos_do_Mindelo	182	FauFon	PT	182	100.00
Novelas_Doidas	182	VirCor	BR	182	100.00
A_Queda_dum_Anjo	182	CamCBra	PT	182	100.00
O_Tio_João_Gil	180	FraBLob	PT	180	100.00
Triste_Fim_de_Policarpo_Quaresma	178	LimBar	BR	178	100.00
Dentro_da_Noite	178	JoadRio	BR	178	100.00
George_Marcial	176	VirVar	BR	176	100.00
A_Marquesa_de_Santos	175	PauSet	BR	175	100.00
Transviado	174	JayMLim	PT	174	100.00
Ecos_de_Paris	174	EcaQue	PT	174	100.00
A_Corja	174	CamCBra	PT	174	100.00
Memórias_I	174	RauBra	PT	174	100.00
Eusébio_Macário	174	CamCBra	PT	174	100.00
A_senhora_duquesa	173	LucCor	PT	173	100.00
O_paroara:_scenas_da_vida_cearense_e_amazonica	173	RodThe	BR	173	100.00
Viagem_à_Roda_da_Parvónia	171	GueJun	PT	171	100.00
Novelas_do_Minho_II	171	CamCBra	PT	171	100.00
A_capital_federal	170	CoeNet	BR	170	100.00
A_morte_vence	170	JoJoGra	PT	170	100.00
Histórias_sem_Data	168	MacAss	BR	168	100.00
Uma_Família_Inglesa	168	JulDin	PT	168	100.00
Febo_Moniz	168	OliMar	PT	168	100.00
A_rua_do_oiro	167	AlfMes	PT	167	100.00
Recordações_do_escrivão_Isaías_Caminha	167	LimBar	BR	167	100.00
As_Farpas_Tomo_VIII	165	RamOrt	PT	165	100.00
O_Bom-Crioulo	164	AdoCam	BR	164	100.00
El-rei_dinheiro	164	ArnGam	PT	164	100.00
Tentacao	163	AdoCam	BR	163	100.00
Filomena_Borges	161	AluAze	BR	161	100.00
O_morto	161	CoeNet	BR	161	100.00
Tentação	161	AdoCam	BR	161	100.00
A_vida_em_Lisboa	160	JulCMac	PT	160	100.00
Canaã	159	GraAra	BR	159	100.00
Esteiros	158	SoePGom	PT	158	100.00
O_príncipe_com_orelhas_de_burro	157	JosReg	PT	157	100.00
As_Religiões_no_Rio	156	JoadRio	BR	156	100.00
Memórias_III	155	RauBra	PT	155	100.00
Luzia_Homem	155	DomOli	BR	155	100.00
Luzia-Homem	155	DomOli	BR	155	100.00
