"story_title","story_date_published","story_url","search_term_used"
"I . DESTROYER LOST.","1918-08-13","http://newspapers.library.wales/view/4105428/4105429/6/","German+Submarine"
"ANOTHER LINER TORPEDOED.","1916-03-28","http://newspapers.library.wales/view/4101273/4101278/88/","German+Submarine"
"[No title]","1917-11-23","http://newspapers.library.wales/view/4104309/4104310/17/","German+Submarine"
"IU-BOAT&apos;S FATE.","1917-11-06","http://newspapers.library.wales/view/4104232/4104233/21/","German+Submarine"
"LOSS OF U46 ADMITTED. 1","1916-12-23","http://newspapers.library.wales/view/4102802/4102803/20/","German+Submarine"
", - - - ,BOARDING STEAWCT tost;","1918-06-14","http://newspapers.library.wales/view/4105170/4105171/33/","German+Submarine"
"PIRATE DRAFT WRtCKEfl ]","1915-08-02","http://newspapers.library.wales/view/4099745/4099750/53/","German+Submarine"
"ENEMY SUBMARINE WRECKEDI","1915-08-03","http://newspapers.library.wales/view/4099752/4099753/24/","German+Submarine"
"MORE BREMEN RUMOURS.[","1916-08-12","http://newspapers.library.wales/view/4102016/4102017/22/","German+Submarine"
".SHOTS AT A TRAWLER.-I","1916-11-16","http://newspapers.library.wales/view/4102574/4102575/23/","German+Submarine"
"I-: - DAS U-BOAT. I","1916-08-16","http://newspapers.library.wales/view/4102037/4102042/116/","German+Submarine"
";A GERMAN DISAVOWAL.I","1916-03-24","http://newspapers.library.wales/view/4101252/4101256/69/","German+Submarine"
") MORE STEAMTRS SUNK.I","1916-11-17","http://newspapers.library.wales/view/4102581/4102582/38/","German+Submarine"
"* SUNKEN U BOAT. I &apos; ■- — |","1917-02-03","http://newspapers.library.wales/view/4103025/4103028/43/","German+Submarine"
"PRIMES&apos; BRUTALITY.I","1916-07-11","http://newspapers.library.wales/view/4101828/4101829/5/","German+Submarine"
"-,-- - -_- - _-_ PIRATE SEEN OFF HASTINGS.","1915-03-23","http://newspapers.library.wales/view/4098825/4098826/28/","German+Submarine"
"CARGO OF THE CARTHACE","1915-07-07","http://newspapers.library.wales/view/4099573/4099574/4/","German+Submarine"
"DESTROYER LOST,","1917-09-24","http://newspapers.library.wales/view/4104045/4104047/51/","German+Submarine"
"TORPEDO THAT MISSED. J","1916-08-30","http://newspapers.library.wales/view/4102117/4102118/9/","German+Submarine"
"U-BOAT MINELAYER.I -I","1917-09-11","http://newspapers.library.wales/view/4103988/4103989/4/","German+Submarine"
"PIRATE&apos;S DASH FOR SAFETY. I","1915-08-23","http://newspapers.library.wales/view/4099871/4099872/27/","German+Submarine"
"; PART CARGO OVERBOAD. I","1916-08-23","http://newspapers.library.wales/view/4102079/4102082/57/","German+Submarine"
"I SHELLED WITHOUT WARNING","1915-08-30","http://newspapers.library.wales/view/4099913/4099914/35/","German+Submarine"
"[No title]","1915-08-31","http://newspapers.library.wales/view/4099920/4099924/75/","German+Submarine"
"iU-BOAT SUNK","1916-04-28","http://newspapers.library.wales/view/4101451/4101452/10/","German+Submarine"
"U-BOAT ASHORE.","1917-07-27","http://newspapers.library.wales/view/4103793/4103794/15/","German+Submarine"
"- - - -.......-SWEDISH STEAMER TORPEDOED.:","1915-06-16","http://newspapers.library.wales/view/4099427/4099428/26/","German+Submarine"
"GERMAN NAVY OUT.","1917-05-26","http://newspapers.library.wales/view/4103522/4103523/30/","German+Submarine"
"THE GRIP WHIGH FAILED TO HOLD. I I","1915-03-11","http://newspapers.library.wales/view/4098737/4098745/153/","German+Submarine"
"A DISGUISED SUBMARINE","1915-06-22","http://newspapers.library.wales/view/4099464/4099471/146/","German+Submarine"
"I U-BOAT OFF URUGUAY. I","1917-01-25","http://newspapers.library.wales/view/4102971/4102972/39/","German+Submarine"
": U28mSMJTCh&apos;SIEAMER. ] i i","1915-03-26","http://newspapers.library.wales/view/4098850/4098851/25/","German+Submarine"
"- - - -_._-NATIONAL RELIEF FUND. I","1915-03-26","http://newspapers.library.wales/view/4098850/4098852/49/","German+Submarine"
"THE DEUTSCHLAND. I","1916-07-18","http://newspapers.library.wales/view/4101870/4101873/57/","German+Submarine"
"GERMAN U BOAT SUNK I - I","1915-12-03","http://newspapers.library.wales/view/4100529/4100530/31/","German+Submarine"
"[No title]","1917-01-26","http://newspapers.library.wales/view/4102978/4102982/95/","German+Submarine"
":PIRATE&apos;S MESSACE ro SIR L GREY ! I-!","1915-06-19","http://newspapers.library.wales/view/4099450/4099451/22/","German+Submarine"
"j MONTH&apos;S REFIT. I I","1917-06-14","http://newspapers.library.wales/view/4103602/4103603/14/","German+Submarine"
"Portmadoc Captain&apos;s Son.","1918-05-24","http://newspapers.library.wales/view/3414230/3414235/51/","German+Submarine"
"TOOK POSSESSION OF VESSEL. I","1915-05-12","http://newspapers.library.wales/view/4099183/4099184/15/","German+Submarine"
