comunidad_autonoma,provincia,poblacion,lat,lng
Andalucía,Cádiz,Castellar de la Frontera,36.28621,-5.419937
Andalucía,Cádiz,Chiclana de la Frontera,36.41915,-6.149412
Andalucía,Cádiz,Chipiona,36.7408,-6.43587
Andalucía,Cádiz,Conil de la Frontera,36.27675,-6.088436
Andalucía,Cádiz,Espera,36.87319,-5.806213
Andalucía,Cádiz,Gastor (El),36.85509,-5.323623
Andalucía,Cádiz,Grazalema,36.75837,-5.366071
Andalucía,Cádiz,Jerez de la Frontera,36.68656,-6.137173
Andalucía,Cádiz,Jimena de la Frontera,36.43404,-5.453479
Andalucía,Cádiz,Línea de la Concepción (La),36.16118,-5.348256
Andalucía,Cádiz,Medina-Sidonia,36.46768,-5.927894
Andalucía,Cádiz,Olvera,36.93525,-5.267688
Andalucía,Cádiz,Paterna de Rivera,36.52333,-5.866053
Andalucía,Cádiz,Prado del Rey,36.78968,-5.555545
Andalucía,Cádiz,Puerto de Santa María (El),36.59695,-6.227526
Andalucía,Cádiz,Puerto Real,36.52912,-6.191895
Andalucía,Cádiz,Puerto Serrano,36.92159,-5.545621
Andalucía,Cádiz,Rota,36.61699,-6.358202
Andalucía,Cádiz,San Fernando,36.46572,-6.196626
Andalucía,Cádiz,San José del Valle,36.60554,-5.798952
Andalucía,Cádiz,San Roque,36.20975,-5.384572
Andalucía,Cádiz,Sanlúcar de Barrameda,36.77882,-6.354198
Andalucía,Cádiz,Setenil de las Bodegas,36.86406,-5.181413
Andalucía,Cádiz,Tarifa,36.01271,-5.602954
Andalucía,Cádiz,Torre Alháquime,36.91553,-5.234736
Andalucía,Cádiz,Trebujena,36.86951,-6.176695
Andalucía,Cádiz,Ubrique,36.67771,-5.446557
Andalucía,Cádiz,Vejer de la Frontera,36.25331,-5.962856
Andalucía,Cádiz,Villaluenga del Rosario,36.69587,-5.388137
Andalucía,Cádiz,Villamartín,36.86132,-5.641834
Andalucía,Cádiz,Zahara,36.84053,-5.390547
Andalucía,Córdoba,Adamuz,38.02736,-4.524873
Andalucía,Córdoba,Aguilar de la Frontera,37.51503,-4.656057
Andalucía,Córdoba,Alcaracejos,38.38823,-4.967684
Andalucía,Córdoba,Almedinilla,37.439,-4.091205
Andalucía,Córdoba,Almodóvar del Río,37.80959,-5.019958
