Année,Origine sociale,Nombre de personnes admises,Proportion de personnes admises,Type de baccalauréat
1999,Employés,26765,78.60037589568894,baccalauréat technologique
2000,Employés,28598,79.70012819798228,baccalauréat technologique
2001,Employés,27924,78.89918625678119,baccalauréat technologique
2002,Employés,26947,77.30063109581182,baccalauréat technologique
2003,Employés,27413,77.10026719167487,baccalauréat technologique
2004,Employés,27552,76.9996087418255,baccalauréat technologique
2005,Employés,26569,76.60083609629523,baccalauréat technologique
2006,Employés,26496,77.39900096398212,baccalauréat technologique
2007,Employés,24309,80.00065819785428,baccalauréat technologique
2008,Employés,24618,80.90042720999014,baccalauréat technologique
2009,Employés,24500,80.49942500410711,baccalauréat technologique
2010,Employés,24897,81.69915337664895,baccalauréat technologique
2011,Employés,24578,82.49865735767992,baccalauréat technologique
2012,Employés,23705,84.09905275481604,baccalauréat technologique
2013,Employés,24260,87.20031630782502,baccalauréat technologique
2014,Employés,25406,91.80126467931346,baccalauréat technologique
2015,Employés,24727,91.3008160100432,baccalauréat technologique
2016,Employés,25517,91.29843643779742,baccalauréat technologique
2017,Employés,26753,90.90075090890558,baccalauréat technologique
2018,Employés,28315,89.59875957217898,baccalauréat technologique
2019,Employés,29238,88.39909297052154,baccalauréat technologique
2020,Employés,35834,95.1993836508063,baccalauréat technologique
2021,Employés,32564,94.39935064935065,baccalauréat technologique
2022,Employés,32004,90.8997955010225,baccalauréat technologique
2023,Employés,32653,89.60019756880608,baccalauréat technologique
2024,Employés,35019,90.199361219864,baccalauréat technologique
1997,Ensemble,139716,77.74006521182716,baccalauréat technologique
1998,Ensemble,148665,79.60088454351236,baccalauréat technologique
1999,Ensemble,153172,78.61908965857063,baccalauréat technologique
2000,Ensemble,156793,79.22759749775142,baccalauréat technologique
2001,Ensemble,151665,78.12226354448897,baccalauréat technologique
2002,Ensemble,145402,76.89809819974191,baccalauréat technologique
2003,Ensemble,146302,76.775977791422,baccalauréat technologique
2004,Ensemble,146835,77.03789591869928,baccalauréat technologique
2005,Ensemble,144246,76.29116796158098,baccalauréat technologique
2006,Ensemble,144125,77.41247623242273,baccalauréat technologique
2007,Ensemble,140809,79.39028997028693,baccalauréat technologique
2008,Ensemble,138937,80.42662807525326,baccalauréat technologique
2009,Ensemble,134554,79.94510064881051,baccalauréat technologique
2010,Ensemble,136343,81.67626144934134,baccalauréat technologique
2011,Ensemble,132352,82.4094195002584,baccalauréat technologique
2012,Ensemble,127887,83.28470765984605,baccalauréat technologique
2013,Ensemble,127694,86.55166570644253,baccalauréat technologique
2014,Ensemble,132183,90.78814519729386,baccalauréat technologique
2015,Ensemble,128242,90.7721600520955,baccalauréat technologique
2016,Ensemble,129648,90.78800865528035,baccalauréat technologique
2017,Ensemble,131703,90.45349340329525,baccalauréat technologique
2018,Ensemble,142014,88.8770675962375,baccalauréat technologique
2019,Ensemble,141733,88.05643743360028,baccalauréat technologique
2020,Ensemble,153959,94.83387333226565,baccalauréat technologique
2021,Ensemble,139929,93.98714409494832,baccalauréat technologique
2022,Ensemble,135596,90.53736445702687,baccalauréat technologique
2023,Ensemble,137603,89.61153983914558,baccalauréat technologique
2024,Ensemble,143886,90.16430424483964,baccalauréat technologique
1997,Indéterminé,4334,66.9964445818519,baccalauréat technologique
1998,Indéterminé,4322,72.39530988274707,baccalauréat technologique
1999,Indéterminé,4134,69.99661361327463,baccalauréat technologique
2000,Indéterminé,4287,69.79811136437642,baccalauréat technologique
2001,Indéterminé,4185,67.69653833710773,baccalauréat technologique
2002,Indéterminé,4166,67.2043878044846,baccalauréat technologique
2003,Indéterminé,3963,67.60491299897646,baccalauréat technologique
2004,Indéterminé,4337,69.20376575714057,baccalauréat technologique
2005,Indéterminé,4891,66.49898028552005,baccalauréat technologique
2006,Indéterminé,4866,67.9988820570151,baccalauréat technologique
2007,Indéterminé,10897,72.40050494983721,baccalauréat technologique
2008,Indéterminé,9995,73.90018484288355,baccalauréat technologique
2009,Indéterminé,10043,73.19970845481049,baccalauréat technologique
2010,Indéterminé,10520,74.29903241754361,baccalauréat technologique
2011,Indéterminé,10671,77.29808040565013,baccalauréat technologique
2012,Indéterminé,9864,75.29770992366412,baccalauréat technologique
2013,Indéterminé,10238,79.19857662257292,baccalauréat technologique
2014,Indéterminé,10374,83.60061245869933,baccalauréat technologique
2015,Indéterminé,10509,85.6968115469298,baccalauréat technologique
2016,Indéterminé,10534,86.5002463458696,baccalauréat technologique
2017,Indéterminé,10313,86.30125523012552,baccalauréat technologique
2018,Indéterminé,11829,85.99781897491822,baccalauréat technologique
2019,Indéterminé,10569,83.20081870424309,baccalauréat technologique
2020,Indéterminé,13530,93.80199667221298,baccalauréat technologique
2021,Indéterminé,11029,92.20030095301789,baccalauréat technologique
2022,Indéterminé,10823,89.20300008241985,baccalauréat technologique
2023,Indéterminé,11158,88.59774495791646,baccalauréat technologique
2024,Indéterminé,11302,89.0973590855341,baccalauréat technologique
1997,Ouvriers,32351,76.59942226642042,baccalauréat technologique
1998,Ouvriers,33721,78.20087660304723,baccalauréat technologique
1999,Ouvriers,34602,77.69968338086363,baccalauréat technologique
2000,Ouvriers,35307,77.90084504556185,baccalauréat technologique
2001,Ouvriers,34861,76.8998301458099,baccalauréat technologique
2002,Ouvriers,33642,75.6,baccalauréat technologique
2003,Ouvriers,33882,74.79965560633154,baccalauréat technologique
2004,Ouvriers,33952,75.49922170335779,baccalauréat technologique
2005,Ouvriers,32034,74.40078037904125,baccalauréat technologique
2006,Ouvriers,31167,75.69950451763334,baccalauréat technologique
2007,Ouvriers,29081,78.00069736877397,baccalauréat technologique
2008,Ouvriers,28392,79.0005286735858,baccalauréat technologique
2009,Ouvriers,26861,78.4010974577508,baccalauréat technologique
2010,Ouvriers,27148,81.0993278566094,baccalauréat technologique
2011,Ouvriers,25816,81.39996846917862,baccalauréat technologique
2012,Ouvriers,24753,82.60086094704175,baccalauréat technologique
2013,Ouvriers,23787,86.1005538060593,baccalauréat technologique
2014,Ouvriers,24352,90.6998398450594,baccalauréat technologique
2015,Ouvriers,22302,90.59961000974975,baccalauréat technologique
2016,Ouvriers,22589,90.90140845070422,baccalauréat technologique
2017,Ouvriers,22274,90.10153310950204,baccalauréat technologique
2018,Ouvriers,24467,87.60114572144647,baccalauréat technologique
2019,Ouvriers,23109,87.70018975332069,baccalauréat technologique
2020,Ouvriers,19849,94.29901658036012,baccalauréat technologique
2021,Ouvriers,23723,93.29846226452196,baccalauréat technologique
2022,Ouvriers,21368,89.30123704446673,baccalauréat technologique
2023,Ouvriers,20449,87.50106974753957,baccalauréat technologique
2024,Ouvriers,20416,88.09873133684302,baccalauréat technologique
1997,Professions intermédiaires,24724,79.47283831565413,baccalauréat technologique
1998,Professions intermédiaires,26966,81.27919944539892,baccalauréat technologique
1999,Professions intermédiaires,28360,80.4059992628505,baccalauréat technologique
2000,Professions intermédiaires,28919,81.14652898591392,baccalauréat technologique
2001,Professions intermédiaires,27798,79.96202968588194,baccalauréat technologique
2002,Professions intermédiaires,26770,78.77468145837625,baccalauréat technologique
2003,Professions intermédiaires,26392,78.7632804106482,baccalauréat technologique
2004,Professions intermédiaires,26109,79.08702632296368,baccalauréat technologique
2005,Professions intermédiaires,25811,78.46481228150175,baccalauréat technologique
2006,Professions intermédiaires,25146,79.86660314435446,baccalauréat technologique
2007,Professions intermédiaires,23075,82.19348863717319,baccalauréat technologique
2008,Professions intermédiaires,22280,83.11261983810199,baccalauréat technologique
2009,Professions intermédiaires,21416,82.44850818094322,baccalauréat technologique
2010,Professions intermédiaires,21203,84.48756773987887,baccalauréat technologique
2011,Professions intermédiaires,20380,85.10460600492755,baccalauréat technologique
2012,Professions intermédiaires,19500,85.97504519201094,baccalauréat technologique
2013,Professions intermédiaires,19046,89.34233980673609,baccalauréat technologique
2014,Professions intermédiaires,19294,92.6794120472668,baccalauréat technologique
2015,Professions intermédiaires,18902,93.21432093894862,baccalauréat technologique
2016,Professions intermédiaires,18779,92.62602347834665,baccalauréat technologique
2017,Professions intermédiaires,19288,92.57943745800135,baccalauréat technologique
2018,Professions intermédiaires,20034,90.53278503321434,baccalauréat technologique
2019,Professions intermédiaires,20821,90.13810121650287,baccalauréat technologique
2020,Professions intermédiaires,21771,96.32333421821077,baccalauréat technologique
2021,Professions intermédiaires,21632,95.54348306170222,baccalauréat technologique
2022,Professions intermédiaires,21767,92.73997699288483,baccalauréat technologique
2023,Professions intermédiaires,22384,92.43475388173108,baccalauréat technologique
2024,Professions intermédiaires,23604,92.48491497531542,baccalauréat technologique
1997,Retraités,4819,72.49887167143072,baccalauréat technologique
1998,Retraités,4979,75.49658832448824,baccalauréat technologique
1999,Retraités,4965,73.89492484000596,baccalauréat technologique
2000,Retraités,4849,74.49685051467199,baccalauréat technologique
2001,Retraités,4588,73.90463917525773,baccalauréat technologique
2002,Retraités,3990,71.59519109994616,baccalauréat technologique
2003,Retraités,3753,69.60311572700297,baccalauréat technologique
2004,Retraités,3812,72.49904906808672,baccalauréat technologique
2005,Retraités,3550,70.39460638508824,baccalauréat technologique
2006,Retraités,3795,72.70114942528735,baccalauréat technologique
2007,Retraités,3611,74.99480789200415,baccalauréat technologique
2008,Retraités,3509,76.39886784236882,baccalauréat technologique
2009,Retraités,3461,76.60469234174414,baccalauréat technologique
2010,Retraités,3506,78.3989266547406,baccalauréat technologique
2011,Retraités,3212,78.99655681259223,baccalauréat technologique
2012,Retraités,3027,79.99471458773785,baccalauréat technologique
2013,Retraités,2710,84.00495970241785,baccalauréat technologique
2014,Retraités,2650,89.7088693297224,baccalauréat technologique
2015,Retraités,2317,89.18398768283295,baccalauréat technologique
2016,Retraités,2192,88.81685575364668,baccalauréat technologique
2017,Retraités,2116,89.88954970263381,baccalauréat technologique
2018,Retraités,2149,86.58340048348106,baccalauréat technologique
2019,Retraités,2180,87.30476571886264,baccalauréat technologique
2020,Retraités,1756,94.71413160733549,baccalauréat technologique
2021,Retraités,2022,92.70976616231087,baccalauréat technologique
2022,Retraités,1700,87.31381612737545,baccalauréat technologique
2023,Retraités,1624,87.40581270182993,baccalauréat technologique
2024,Retraités,1577,87.32004429678848,baccalauréat technologique
1997,Agriculteurs exploitants,2435,82.99250170415814,baccalauréat professionnel
1998,Agriculteurs exploitants,4158,82.3040380047506,baccalauréat professionnel
1999,Agriculteurs exploitants,4559,82.5009048136084,baccalauréat professionnel
2000,Agriculteurs exploitants,4974,85.4932966655208,baccalauréat professionnel
2001,Agriculteurs exploitants,4894,84.49585635359117,baccalauréat professionnel
2002,Agriculteurs exploitants,4679,82.59488084730803,baccalauréat professionnel
2003,Agriculteurs exploitants,4611,83.39663591969615,baccalauréat professionnel
2004,Agriculteurs exploitants,4398,84.70724191063174,baccalauréat professionnel
2005,Agriculteurs exploitants,4392,82.69629071737903,baccalauréat professionnel
2006,Agriculteurs exploitants,4255,85.20224269122947,baccalauréat professionnel
2007,Agriculteurs exploitants,1948,85.89065255731923,baccalauréat professionnel
2008,Agriculteurs exploitants,1837,83.31065759637188,baccalauréat professionnel
2009,Agriculteurs exploitants,2012,92.50574712643679,baccalauréat professionnel
2010,Agriculteurs exploitants,2031,91.19892231701841,baccalauréat professionnel
2011,Agriculteurs exploitants,2528,88.88888888888889,baccalauréat professionnel
2012,Agriculteurs exploitants,3012,85.30161427357689,baccalauréat professionnel
2013,Agriculteurs exploitants,2348,85.78735842162952,baccalauréat professionnel
2014,Agriculteurs exploitants,2763,89.30187459599225,baccalauréat professionnel
2015,Agriculteurs exploitants,2627,87.30475240943835,baccalauréat professionnel
2016,Agriculteurs exploitants,2459,89.7117840204305,baccalauréat professionnel
2017,Agriculteurs exploitants,2207,88.81287726358148,baccalauréat professionnel
2018,Agriculteurs exploitants,2142,90.49429657794677,baccalauréat professionnel
2019,Agriculteurs exploitants,1665,90.39087947882736,baccalauréat professionnel
2020,Agriculteurs exploitants,1714,94.69613259668509,baccalauréat professionnel
2021,Agriculteurs exploitants,1420,93.29829172141919,baccalauréat professionnel
2022,Agriculteurs exploitants,1451,90.29247044181704,baccalauréat professionnel
2023,Agriculteurs exploitants,1405,91.47135416666667,baccalauréat professionnel
2024,Agriculteurs exploitants,1284,92.90882778581765,baccalauréat professionnel
1997,"Artisans, commerçants, chefs d'entreprise",7740,81.69727675744141,baccalauréat professionnel
1998,"Artisans, commerçants, chefs d'entreprise",8054,79.99602701628923,baccalauréat professionnel
1999,"Artisans, commerçants, chefs d'entreprise",8277,80.6018112766579,baccalauréat professionnel
2000,"Artisans, commerçants, chefs d'entreprise",8679,81.70008472183,baccalauréat professionnel
2001,"Artisans, commerçants, chefs d'entreprise",8705,80.20084761378294,baccalauréat professionnel
2002,"Artisans, commerçants, chefs d'entreprise",8677,79.59820199981652,baccalauréat professionnel
2003,"Artisans, commerçants, chefs d'entreprise",8321,79.80243598350437,baccalauréat professionnel
2004,"Artisans, commerçants, chefs d'entreprise",8577,80.49741905208822,baccalauréat professionnel
2005,"Artisans, commerçants, chefs d'entreprise",8531,77.70288733035795,baccalauréat professionnel
2006,"Artisans, commerçants, chefs d'entreprise",9232,79.7994640850549,baccalauréat professionnel
2007,"Artisans, commerçants, chefs d'entreprise",9189,81.49889135254989,baccalauréat professionnel
2008,"Artisans, commerçants, chefs d'entreprise",9336,79.5975786512064,baccalauréat professionnel
2009,"Artisans, commerçants, chefs d'entreprise",10840,89.4020618556701,baccalauréat professionnel
2010,"Artisans, commerçants, chefs d'entreprise",10887,87.89762635233328,baccalauréat professionnel
2011,"Artisans, commerçants, chefs d'entreprise",15193,85.89924803528015,baccalauréat professionnel
2012,"Artisans, commerçants, chefs d'entreprise",17856,81.00163309744148,baccalauréat professionnel
2013,"Artisans, commerçants, chefs d'entreprise",15565,81.80050451965525,baccalauréat professionnel
2014,"Artisans, commerçants, chefs d'entreprise",18063,84.50130988023952,baccalauréat professionnel
2015,"Artisans, commerçants, chefs d'entreprise",16715,82.60031626803716,baccalauréat professionnel
2016,"Artisans, commerçants, chefs d'entreprise",17028,85.19963974782348,baccalauréat professionnel
2017,"Artisans, commerçants, chefs d'entreprise",15968,84.40192399175432,baccalauréat professionnel
2018,"Artisans, commerçants, chefs d'entreprise",15880,85.10182207931405,baccalauréat professionnel
2019,"Artisans, commerçants, chefs d'entreprise",15374,84.5003847422227,baccalauréat professionnel
2020,"Artisans, commerçants, chefs d'entreprise",12303,91.69710069315047,baccalauréat professionnel
2021,"Artisans, commerçants, chefs d'entreprise",11571,89.39967550027042,baccalauréat professionnel
2022,"Artisans, commerçants, chefs d'entreprise",10703,85.69941548562736,baccalauréat professionnel
2023,"Artisans, commerçants, chefs d'entreprise",10210,86.10220947883286,baccalauréat professionnel
2024,"Artisans, commerçants, chefs d'entreprise",10123,86.69921205892429,baccalauréat professionnel
1997,Autres personnes sans activité professionnelle,5883,73.70333249812077,baccalauréat professionnel
1998,Autres personnes sans activité professionnelle,6114,70.50276752767527,baccalauréat professionnel
1999,Autres personnes sans activité professionnelle,6562,70.90221501890869,baccalauréat professionnel
2000,Autres personnes sans activité professionnelle,6406,72.00179835899742,baccalauréat professionnel
2001,Autres personnes sans activité professionnelle,6251,69.401576551571,baccalauréat professionnel
2002,Autres personnes sans activité professionnelle,6413,68.10024423914197,baccalauréat professionnel
2003,Autres personnes sans activité professionnelle,6179,67.59654304780659,baccalauréat professionnel
2004,Autres personnes sans activité professionnelle,6710,68.79934379165385,baccalauréat professionnel
2005,Autres personnes sans activité professionnelle,6559,65.40033901685113,baccalauréat professionnel
2006,Autres personnes sans activité professionnelle,8475,70.09925558312655,baccalauréat professionnel
2007,Autres personnes sans activité professionnelle,8228,70.19878849927481,baccalauréat professionnel
2008,Autres personnes sans activité professionnelle,7424,68.49972319616165,baccalauréat professionnel
2009,Autres personnes sans activité professionnelle,8957,81.5978864899335,baccalauréat professionnel
2010,Autres personnes sans activité professionnelle,8713,80.29674684360889,baccalauréat professionnel
2011,Autres personnes sans activité professionnelle,11916,77.40175381617408,baccalauréat professionnel
2012,Autres personnes sans activité professionnelle,13230,70.3985526525834,baccalauréat professionnel
2013,Autres personnes sans activité professionnelle,11647,72.09978952581405,baccalauréat professionnel
2014,Autres personnes sans activité professionnelle,13674,75.30150338675037,baccalauréat professionnel
2015,Autres personnes sans activité professionnelle,13395,73.5989010989011,baccalauréat professionnel
2016,Autres personnes sans activité professionnelle,13959,75.29938504693062,baccalauréat professionnel
2017,Autres personnes sans activité professionnelle,15642,74.30172905187156,baccalauréat professionnel
2018,Autres personnes sans activité professionnelle,15999,75.69907735982967,baccalauréat professionnel
2019,Autres personnes sans activité professionnelle,14556,74.69978446063841,baccalauréat professionnel
2020,Autres personnes sans activité professionnelle,23472,86.10102344007923,baccalauréat professionnel
2021,Autres personnes sans activité professionnelle,23250,78.60040567951319,baccalauréat professionnel
2022,Autres personnes sans activité professionnelle,23815,74.50103234686854,baccalauréat professionnel
2023,Autres personnes sans activité professionnelle,23641,74.20043313141458,baccalauréat professionnel
2024,Autres personnes sans activité professionnelle,24877,75.300420740382,baccalauréat professionnel
1997,"Cadres, professions intellectuelles supérieures",6689,81.56322399707352,baccalauréat professionnel
1998,"Cadres, professions intellectuelles supérieures",7117,79.921392476137,baccalauréat professionnel
1999,"Cadres, professions intellectuelles supérieures",7830,81.26621691748832,baccalauréat professionnel
2000,"Cadres, professions intellectuelles supérieures",8213,82.15464639391817,baccalauréat professionnel
2001,"Cadres, professions intellectuelles supérieures",8262,80.95238095238095,baccalauréat professionnel
2002,"Cadres, professions intellectuelles supérieures",8216,80.53322877867085,baccalauréat professionnel
2003,"Cadres, professions intellectuelles supérieures",8201,80.24461839530332,baccalauréat professionnel
2004,"Cadres, professions intellectuelles supérieures",8089,81.06835037081579,baccalauréat professionnel
2005,"Cadres, professions intellectuelles supérieures",8368,79.0552668871044,baccalauréat professionnel
2006,"Cadres, professions intellectuelles supérieures",8342,81.20315389856907,baccalauréat professionnel
2007,"Cadres, professions intellectuelles supérieures",8531,83.01868431296224,baccalauréat professionnel
2008,"Cadres, professions intellectuelles supérieures",8437,80.59801299197555,baccalauréat professionnel
2009,"Cadres, professions intellectuelles supérieures",9814,90.19391600036761,baccalauréat professionnel
2010,"Cadres, professions intellectuelles supérieures",9690,89.3169877408056,baccalauréat professionnel
2011,"Cadres, professions intellectuelles supérieures",13166,87.90225664307651,baccalauréat professionnel
2012,"Cadres, professions intellectuelles supérieures",15036,83.96247487156577,baccalauréat professionnel
2013,"Cadres, professions intellectuelles supérieures",12968,85.15332589139142,baccalauréat professionnel
2014,"Cadres, professions intellectuelles supérieures",14366,87.29416053958802,baccalauréat professionnel
2015,"Cadres, professions intellectuelles supérieures",13739,85.87411713232078,baccalauréat professionnel
2016,"Cadres, professions intellectuelles supérieures",13897,87.64505549949546,baccalauréat professionnel
2017,"Cadres, professions intellectuelles supérieures",14687,87.34463276836158,baccalauréat professionnel
2018,"Cadres, professions intellectuelles supérieures",14381,88.05951870675402,baccalauréat professionnel
2019,"Cadres, professions intellectuelles supérieures",14025,88.33532783271399,baccalauréat professionnel
2020,"Cadres, professions intellectuelles supérieures",13408,93.85412291754164,baccalauréat professionnel
2021,"Cadres, professions intellectuelles supérieures",13287,91.64712374120569,baccalauréat professionnel
2022,"Cadres, professions intellectuelles supérieures",13016,89.01046296929495,baccalauréat professionnel
2023,"Cadres, professions intellectuelles supérieures",12903,90.09845681167516,baccalauréat professionnel
2024,"Cadres, professions intellectuelles supérieures",13691,89.97765509989485,baccalauréat professionnel
1997,Employés,12681,81.29888447236826,baccalauréat professionnel
1998,Employés,13763,78.10123709000113,baccalauréat professionnel
1999,Employés,15314,79.69815248503772,baccalauréat professionnel
2000,Employés,16390,80.69916297390448,baccalauréat professionnel
2001,Employés,16178,79.30003431204352,baccalauréat professionnel
2002,Employés,16588,78.69816870670842,baccalauréat professionnel
2003,Employés,16080,77.89942834996609,baccalauréat professionnel
2004,Employés,16662,78.89951699971589,baccalauréat professionnel
2005,Employés,16308,77.39914570479354,baccalauréat professionnel
2006,Employés,16264,79.39855496973247,baccalauréat professionnel
2007,Employés,13937,80.70063694267516,baccalauréat professionnel
2008,Employés,12860,78.20006080875646,baccalauréat professionnel
2009,Employés,14725,88.20005989817311,baccalauréat professionnel
2010,Employés,14311,87.2994570853413,baccalauréat professionnel
2011,Employés,19712,85.1012390450287,baccalauréat professionnel
2012,Employés,21972,79.60004347353548,baccalauréat professionnel
2013,Employés,18720,80.5993283389305,baccalauréat professionnel
2014,Employés,22417,84.10054398799475,baccalauréat professionnel
2015,Employés,20585,81.69947610731862,baccalauréat professionnel
2016,Employés,21340,83.8012958963283,baccalauréat professionnel
2017,Employés,28251,83.00085201398478,baccalauréat professionnel
2018,Employés,29032,83.49966924559234,baccalauréat professionnel
2019,Employés,31250,83.10065150910783,baccalauréat professionnel
2020,Employés,38859,90.59942645310205,baccalauréat professionnel
2021,Employés,37451,87.50029204925119,baccalauréat professionnel
2022,Employés,35440,82.79986916499229,baccalauréat professionnel
2023,Employés,35722,83.79938068874918,baccalauréat professionnel
2024,Employés,37060,83.8993027257086,baccalauréat professionnel
1997,Ensemble,77664,79.12947793128744,baccalauréat professionnel
1998,Ensemble,82591,76.73604013750813,baccalauréat professionnel
1999,Ensemble,89364,77.76598151661243,baccalauréat professionnel
2000,Ensemble,93751,79.20165582495565,baccalauréat professionnel
2001,Ensemble,93575,77.49739121792854,baccalauréat professionnel
2002,Ensemble,94661,76.71194022593559,baccalauréat professionnel
2003,Ensemble,92753,75.92933683702121,baccalauréat professionnel
2004,Ensemble,94998,76.87912728214424,baccalauréat professionnel
2005,Ensemble,94396,74.72294344879995,baccalauréat professionnel
2006,Ensemble,101496,77.38393857836671,baccalauréat professionnel
2007,Ensemble,105841,78.52463516511236,baccalauréat professionnel
2008,Ensemble,104185,76.9938514292471,baccalauréat professionnel
2009,Ensemble,121688,87.34675127049297,baccalauréat professionnel
2010,Ensemble,119478,86.55066500536061,baccalauréat professionnel
2011,Ensemble,157295,83.98876554482302,baccalauréat professionnel
2012,Ensemble,192332,78.46250499742989,baccalauréat professionnel
2013,Ensemble,160464,78.93626127123271,baccalauréat professionnel
2014,Ensemble,192142,82.18994088408661,baccalauréat professionnel
2015,Ensemble,177881,80.56350658526422,baccalauréat professionnel
2016,Ensemble,181120,82.52683762553083,baccalauréat professionnel
2017,Ensemble,179158,81.59976680315363,baccalauréat professionnel
2018,Ensemble,180808,82.82546953733394,baccalauréat professionnel
2019,Ensemble,175491,82.49703841597562,baccalauréat professionnel
2020,Ensemble,190668,90.43727380958028,baccalauréat professionnel
2021,Ensemble,183009,86.67456013639915,baccalauréat professionnel
2022,Ensemble,173068,82.28872469308381,baccalauréat professionnel
2023,Ensemble,171284,82.70913410464914,baccalauréat professionnel
2024,Ensemble,175577,83.37702177773978,baccalauréat professionnel
1997,Indéterminé,5922,72.5024485798237,baccalauréat professionnel
1998,Indéterminé,6488,70.79877782627673,baccalauréat professionnel
1999,Indéterminé,7600,71.20104927862094,baccalauréat professionnel
2000,Indéterminé,8101,72.70034999551288,baccalauréat professionnel
2001,Indéterminé,8717,70.60014578440106,baccalauréat professionnel
2002,Indéterminé,9586,70.20139143171,baccalauréat professionnel
2003,Indéterminé,10580,70.40191642267767,baccalauréat professionnel
2004,Indéterminé,11538,70.89836549096718,baccalauréat professionnel
2005,Indéterminé,11879,68.39983877468762,baccalauréat professionnel
2006,Indéterminé,13755,73.80083699967808,baccalauréat professionnel
2007,Indéterminé,24536,77.09904474610357,baccalauréat professionnel
2008,Indéterminé,26160,76.60097800942872,baccalauréat professionnel
2009,Indéterminé,30885,86.29987705376104,baccalauréat professionnel
2010,Indéterminé,29202,86.39900588774816,baccalauréat professionnel
2011,Indéterminé,34824,84.39931169869853,baccalauréat professionnel
2012,Indéterminé,50377,79.00043909170743,baccalauréat professionnel
2013,Indéterminé,40809,78.000344043273,baccalauréat professionnel
2014,Indéterminé,52758,81.00041453641012,baccalauréat professionnel
2015,Indéterminé,46437,80.30054125092947,baccalauréat professionnel
2016,Indéterminé,46156,81.899320403854,baccalauréat professionnel
2017,Indéterminé,38873,81.20025901865353,baccalauréat professionnel
2018,Indéterminé,39882,83.2992188479051,baccalauréat professionnel
2019,Indéterminé,40093,82.49927980575332,baccalauréat professionnel
2020,Indéterminé,40777,91.19923063159779,baccalauréat professionnel
2021,Indéterminé,40315,88.19926053949987,baccalauréat professionnel
2022,Indéterminé,37400,82.69945161860959,baccalauréat professionnel
2023,Indéterminé,38350,83.30075155306486,baccalauréat professionnel
2024,Indéterminé,39078,84.5002811053929,baccalauréat professionnel
1997,Ouvriers,22140,79.40037297374839,baccalauréat professionnel
1998,Ouvriers,22638,76.50040551500406,baccalauréat professionnel
1999,Ouvriers,24040,77.40107537267781,baccalauréat professionnel
2000,Ouvriers,25220,79.00012529758176,baccalauréat professionnel
2001,Ouvriers,24888,77.29912724788024,baccalauréat professionnel
2002,Ouvriers,24514,76.80065164948776,baccalauréat professionnel
2003,Ouvriers,23198,75.20098547717842,baccalauréat professionnel
2004,Ouvriers,23536,77.29900157645822,baccalauréat professionnel
2005,Ouvriers,22882,75.00081943033203,baccalauréat professionnel
2006,Ouvriers,27082,77.39925693055159,baccalauréat professionnel
2007,Ouvriers,26333,78.50052168728574,baccalauréat professionnel
2008,Ouvriers,25167,76.7005973424357,baccalauréat professionnel
2009,Ouvriers,29181,87.39966455013777,baccalauréat professionnel
2010,Ouvriers,29401,86.3009275566514,baccalauréat professionnel
2011,Ouvriers,40083,82.69992572418916,baccalauréat professionnel
2012,Ouvriers,48204,76.49971434012569,baccalauréat professionnel
2013,Ouvriers,39600,77.29996681567081,baccalauréat professionnel
2014,Ouvriers,46562,81.29976253666713,baccalauréat professionnel
2015,Ouvriers,44297,79.3000358037952,baccalauréat professionnel
2016,Ouvriers,45994,81.5005138746146,baccalauréat professionnel
2017,Ouvriers,43046,79.99925661611657,baccalauréat professionnel
2018,Ouvriers,42905,81.09972780886133,baccalauréat professionnel
2019,Ouvriers,37618,81.29930193857923,baccalauréat professionnel
2020,Ouvriers,37526,89.70001195171507,baccalauréat professionnel
2021,Ouvriers,32806,85.4990878290331,baccalauréat professionnel
2022,Ouvriers,29518,81.50091114915236,baccalauréat professionnel
2023,Ouvriers,27438,81.19913586457933,baccalauréat professionnel
2024,Ouvriers,26934,81.79913141191119,baccalauréat professionnel
1997,Professions intermédiaires,10217,80.79873467773824,baccalauréat professionnel
1998,Professions intermédiaires,10587,78.56188780053428,baccalauréat professionnel
1999,Professions intermédiaires,11444,80.42164441321152,baccalauréat professionnel
2000,Professions intermédiaires,11966,81.98698184309696,baccalauréat professionnel
2001,Professions intermédiaires,11982,80.35678358259004,baccalauréat professionnel
2002,Professions intermédiaires,12093,79.61682796760813,baccalauréat professionnel
2003,Professions intermédiaires,11926,78.68311671175034,baccalauréat professionnel
2004,Professions intermédiaires,11710,79.00951352810202,baccalauréat professionnel
2005,Professions intermédiaires,11801,78.33908656399363,baccalauréat professionnel
2006,Professions intermédiaires,10250,79.93449270841457,baccalauréat professionnel
2007,Professions intermédiaires,9483,81.60929432013769,baccalauréat professionnel
2008,Professions intermédiaires,9363,79.83458390177353,baccalauréat professionnel
2009,Professions intermédiaires,10956,89.70768852861704,baccalauréat professionnel
2010,Professions intermédiaires,10828,88.6451084731887,baccalauréat professionnel
2011,Professions intermédiaires,14313,86.2021199710913,baccalauréat professionnel
2012,Professions intermédiaires,16688,81.26613099586072,baccalauréat professionnel
2013,Professions intermédiaires,14036,82.12029019424293,baccalauréat professionnel
2014,Professions intermédiaires,16522,85.72614538473512,baccalauréat professionnel
2015,Professions intermédiaires,15464,83.78393021617815,baccalauréat professionnel
2016,Professions intermédiaires,15529,85.90949325071918,baccalauréat professionnel
