Année,Origine sociale,Nombre de personnes admises,Proportion de personnes admises,Type de baccalauréat
2023,Autres personnes sans activité professionnelle,24894,87.70125066056015,baccalaureat général
2024,Autres personnes sans activité professionnelle,25028,89.29960395333072,baccalaureat général
1997,"Cadres, professions intellectuelles supérieures",111616,83.12554925004096,baccalaureat général
1998,"Cadres, professions intellectuelles supérieures",114231,84.95158627459729,baccalaureat général
1999,"Cadres, professions intellectuelles supérieures",110709,84.01557235224479,baccalaureat général
2000,"Cadres, professions intellectuelles supérieures",110532,85.33576270401309,baccalaureat général
2001,"Cadres, professions intellectuelles supérieures",105272,84.95089613544113,baccalaureat général
2002,"Cadres, professions intellectuelles supérieures",104228,86.07837469546186,baccalaureat général
2003,"Cadres, professions intellectuelles supérieures",106243,88.81411756838092,baccalaureat général
2004,"Cadres, professions intellectuelles supérieures",103360,88.53711603364684,baccalaureat général
2005,"Cadres, professions intellectuelles supérieures",107475,89.56697834891744,baccalaureat général
2006,"Cadres, professions intellectuelles supérieures",112797,91.87593161251435,baccalaureat général
2007,"Cadres, professions intellectuelles supérieures",111618,92.62520227376457,baccalaureat général
2008,"Cadres, professions intellectuelles supérieures",110993,92.81127184547204,baccalaureat général
2009,"Cadres, professions intellectuelles supérieures",114039,93.52211779756925,baccalaureat général
2010,"Cadres, professions intellectuelles supérieures",112278,92.45705627563036,baccalaureat général
2011,"Cadres, professions intellectuelles supérieures",113587,93.08502356074575,baccalaureat général
2012,"Cadres, professions intellectuelles supérieures",117416,94.18446087946994,baccalaureat général
2013,"Cadres, professions intellectuelles supérieures",119873,95.56202168367346,baccalaureat général
2014,"Cadres, professions intellectuelles supérieures",122174,95.05041389182797,baccalaureat général
2015,"Cadres, professions intellectuelles supérieures",126218,95.47648224632748,baccalaureat général
2016,"Cadres, professions intellectuelles supérieures",129446,95.29229025110239,baccalaureat général
2017,"Cadres, professions intellectuelles supérieures",133611,94.78175743259061,baccalaureat général
2018,"Cadres, professions intellectuelles supérieures",140138,95.19468521587915,baccalaureat général
2019,"Cadres, professions intellectuelles supérieures",136324,95.38082644165512,baccalaureat général
2020,"Cadres, professions intellectuelles supérieures",136862,98.92875730064188,baccalaureat général
2021,"Cadres, professions intellectuelles supérieures",142206,98.91421536235714,baccalaureat général
2022,"Cadres, professions intellectuelles supérieures",141435,98.14105499812648,baccalaureat général
2023,"Cadres, professions intellectuelles supérieures",145238,98.06818412008184,baccalaureat général
2024,"Cadres, professions intellectuelles supérieures",148642,98.2815506377239,baccalaureat général
1997,Employés,36083,73.89968664878039,baccalaureat général
1998,Employés,37362,76.90027786353814,baccalaureat général
1999,Employés,36760,76.20074210733608,baccalaureat général
2000,Employés,38053,77.29950434711952,baccalaureat général
2001,Employés,36790,77.1004044680093,baccalaureat général
2002,Employés,37115,77.90068004365712,baccalaureat général
2003,Employés,39379,81.20051138238205,baccalaureat général
2004,Employés,38052,79.80035231943629,baccalaureat général
2005,Employés,39090,81.8004896729236,baccalaureat général
2006,Employés,40176,84.30064207478283,baccalaureat général
2007,Employés,40340,86.2002649685884,baccalaureat général
2008,Employés,40057,85.99982824509425,baccalaureat général
2009,Employés,41782,87.00052056220719,baccalaureat général
2010,Employés,41207,85.09974804840775,baccalaureat général
2011,Employés,42120,86.49936337125725,baccalaureat général
2012,Employés,44506,88.0,baccalaureat général
2013,Employés,48646,90.89991778159802,baccalaureat général
2014,Employés,48811,89.80038634900193,baccalaureat général
2015,Employés,51545,90.09945987519447,baccalaureat général
2016,Employés,54882,90.40026354801516,baccalaureat général
2017,Employés,58830,89.60065795485698,baccalaureat général
2018,Employés,61543,89.60050082986344,baccalaureat général
2019,Employés,63279,89.79948060794415,baccalaureat général
2020,Employés,75889,97.6001543309112,baccalaureat général
2021,Employés,72624,97.3003389648843,baccalaureat général
2022,Employés,70900,95.60023192157814,baccalaureat général
2023,Employés,73324,95.00019434331394,baccalaureat général
2024,Employés,74036,95.39984021853981,baccalaureat général
1997,Ensemble,293150,77.16809034313016,baccalaureat général
1998,Ensemble,299466,79.67869477067491,baccalaureat général
1999,Ensemble,289490,78.87903434558112,baccalaureat général
2000,Ensemble,294020,80.35682562935065,baccalaureat général
2001,Ensemble,280345,79.88857859341161,baccalaureat général
2002,Ensemble,278709,80.77070207672824,baccalaureat général
2003,Ensemble,288937,84.08668928868686,baccalaureat général
2004,Ensemble,280596,82.92236039529055,baccalaureat général
2005,Ensemble,292145,84.43545916450384,baccalaureat général
2006,Ensemble,302868,86.91265345477711,baccalaureat général
2007,Ensemble,301068,88.05243347108525,baccalaureat général
2008,Ensemble,298670,88.26597709641669,baccalaureat général
2009,Ensemble,305904,89.21553187393914,baccalaureat général
2010,Ensemble,298329,87.59516937432652,baccalaureat général
2011,Ensemble,302330,88.55828068109587,baccalaureat général
2012,Ensemble,312748,89.8693402068373,baccalaureat général
2013,Ensemble,325142,92.17506180119294,baccalaureat général
2014,Ensemble,325916,91.2293666322369,baccalaureat général
2015,Ensemble,338121,91.74383867545428,baccalaureat général
2016,Ensemble,349108,91.70184318845072,baccalaureat général
2017,Ensemble,360981,90.86220436765639,baccalaureat général
2018,Ensemble,383478,91.27603360864494,baccalaureat général
2019,Ensemble,380426,91.34250377566431,baccalaureat général
2020,Ensemble,411996,97.65831111111112,baccalaureat général
2021,Ensemble,398470,97.63047574245175,baccalaureat général
2022,Ensemble,390665,96.13789777019828,baccalaureat général
2023,Ensemble,400030,95.65541763610148,baccalaureat général
2024,Ensemble,402972,96.11024587329261,baccalaureat général
1997,Indéterminé,4326,61.89726713406782,baccalaureat général
1998,Indéterminé,4338,64.2952423299244,baccalaureat général
1999,Indéterminé,4468,63.50198976691302,baccalaureat général
2000,Indéterminé,5007,66.50285562491699,baccalaureat général
2001,Indéterminé,5024,68.19600923035156,baccalaureat général
2002,Indéterminé,4740,68.29971181556196,baccalaureat général
2003,Indéterminé,5269,73.70261575045461,baccalaureat général
2004,Indéterminé,5382,70.50039297877915,baccalaureat général
2005,Indéterminé,5984,71.89715246906164,baccalaureat général
2006,Indéterminé,6365,74.80314960629921,baccalaureat général
2007,Indéterminé,7259,76.79856115107914,baccalaureat général
2008,Indéterminé,7435,77.10256144353417,baccalaureat général
2009,Indéterminé,7487,78.3979057591623,baccalaureat général
2010,Indéterminé,7631,75.80212575742524,baccalaureat général
2011,Indéterminé,7862,76.59781761496492,baccalaureat général
2012,Indéterminé,8355,78.39917425166557,baccalaureat général
2013,Indéterminé,9390,83.001856271546,baccalaureat général
2014,Indéterminé,8777,80.70062522986392,baccalaureat général
2015,Indéterminé,9620,82.60346900223253,baccalaureat général
2016,Indéterminé,9344,82.20286795108647,baccalaureat général
2017,Indéterminé,9688,81.50079919239505,baccalaureat général
2018,Indéterminé,11632,82.80182232346242,baccalaureat général
2019,Indéterminé,9485,79.1009924109749,baccalaureat général
2020,Indéterminé,14036,93.49853450572876,baccalaureat général
2021,Indéterminé,12206,93.59711678552259,baccalaureat général
2022,Indéterminé,11720,90.5019305019305,baccalaureat général
2023,Indéterminé,11707,88.70283376269131,baccalaureat général
2024,Indéterminé,11613,90.59915743485723,baccalaureat général
1997,Ouvriers,33038,70.39996590594302,baccalaureat général
1998,Ouvriers,33672,73.6,baccalaureat général
1999,Ouvriers,31987,72.60037676751628,baccalaureat général
2000,Ouvriers,32880,74.19944485816804,baccalaureat général
2001,Ouvriers,31723,73.59983295438727,baccalaureat général
2002,Ouvriers,32118,74.10022148394242,baccalaureat général
2003,Ouvriers,33764,78.20085232536594,baccalaureat général
2004,Ouvriers,32783,76.69973328342147,baccalaureat général
2005,Ouvriers,33432,78.09937627023618,baccalaureat général
2006,Ouvriers,33898,81.09957414230345,baccalaureat général
2007,Ouvriers,33259,82.60027319011549,baccalaureat général
2008,Ouvriers,32222,82.89896832951709,baccalaureat général
2009,Ouvriers,33123,84.20102699679698,baccalaureat général
2010,Ouvriers,31466,81.79998440221489,baccalaureat général
2011,Ouvriers,32051,83.50093789078782,baccalaureat général
2012,Ouvriers,32633,85.50056331385753,baccalaureat général
2013,Ouvriers,34269,88.69936585997152,baccalaureat général
2014,Ouvriers,33708,87.19991721854305,baccalaureat général
2015,Ouvriers,34069,87.70046593044508,baccalaureat général
2016,Ouvriers,35666,88.199218556803,baccalaureat général
2017,Ouvriers,36286,86.70075504157508,baccalaureat général
2018,Ouvriers,40055,87.39908356971416,baccalaureat général
2019,Ouvriers,37304,88.29976092977016,baccalaureat général
2020,Ouvriers,33465,96.70008957725315,baccalaureat général
2021,Ouvriers,39741,96.59941662615459,baccalaureat général
2022,Ouvriers,36419,94.10108004754277,baccalaureat général
