GISJOIN,STATE,STATEFP,STATENH,AV0AA1970,AV0AA1980,AV0AA1990,AV0AA2000,AV0AA2010,AV0AA125,AV0AA125M,A57AA1970,A57AA1980,A57AA1990,A57AA2000,A57AA2010,A57AB1970,A57AB1980,A57AB1990,A57AB2000,A57AB2010,AV1AA1970,AV1AA1980,AV1AA1990,AV1AA2000,AV1AA2010,AV1AA125,AV1AA125M,AV1AB1970,AV1AB1980,AV1AB1990,AV1AB2000,AV1AB2010,AV1AB125,AV1AB125M,AR9AA1980,AR9AA1990,AR9AA2000,AR9AA2010,B18AA1970,B18AA1980,B18AA1990,B18AA2000,B18AA2010,B18AB1970,B18AB1980,B18AB1990,B18AB2000,B18AB2010,B18AC1970,B18AC1980,B18AC1990,B18AC2000,B18AC2010,B18AD1970,B18AD1980,B18AD1990,B18AD2000,B18AD2010,B18AE2000,B18AE2010,CR1AA1970,CR1AA1980,CR1AA1990,CR1AA2000,CR1AA2010,A68AA1970,A68AA1980,A68AA1990,A68AA2000,A68AA2010,C50AA1980,C50AA1990,C50AA2000,C50AA125,C50AA125M,C50AB1980,C50AB1990,C50AB2000,C50AB125,C50AB125M,C50AC1980,C50AC1990,C50AC2000,C50AC125,C50AC125M,C50AD1980,C50AD1990,C50AD2000,C50AD125,C50AD125M,C50AE1980,C50AE1990,C50AE2000,C50AE125,C50AE125M,C50AF1980,C50AF1990,C50AF2000,C50AF125,C50AF125M,C50AG1980,C50AG1990,C50AG2000,C50AG125,C50AG125M,C50AH1980,C50AH1990,C50AH2000,C50AH125,C50AH125M,BD5AA1980,BD5AA1990,BD5AA2000,BD5AA125,BD5AA125M
"G410","Oregon","41","410",2091385,2633105,2842321,3421399,3831074,3836628,0,688681,844751,839050,727255,726692,984052,1268226,1420059,1976124,2393393,1023952,1296566,1397073,1696550,1896002,1899186,709,1067433,1336539,1445248,1724849,1935072,1937442,709,30.2,34.6,36.3,38.4,2032079,2496398,2636787,2961623,3204614,26308,37454,46178,55662,69206,13510,30469,38496,45211,53203,19488,40958,120860,254158,359292,104745,144759,212346,286099,373239,417372,517923,541820,698930,750844,877671,963467,57917,63499,66369,68707,2169,184561,191683,206168,205017,3091,199720,226857,263466,270906,3717,195608,221156,258476,263142,3649,207904,250679,310517,334720,3929,151388,181934,252705,276856,3926,40605,54371,83858,91797,1989,39262,48844,80033,86509,2044,7557,13418,20940,26702,154
"G420","Pennsylvania","42","420",11793909,11863895,11881643,12281054,12702379,12699589,0,3363499,3643044,3693348,2816953,2711092,6921979,7168250,7207497,8210985,8977537,5665414,5682590,5694265,5929663,6190363,6190405,890,6128495,6181305,6187378,6351391,6512016,6509184,890,32.1,35.1,38.0,40.1,10737732,10668416,10520201,10484203,10406288,1016514,1045318,1089795,1224612,1377689,5533,11132,14733,18348,26843,34130,70514,256914,411667,653724,142224,237835,1206488,1445575,1718160,1783662,1869942,2999021,3134328,3155989,3208388,3261307,173334,209293,196492,201796,2683,623134,663562,615919,590816,5273,794637,873894,825199,811300,6054,803463,874134,836006,833946,5096,961192,1069134,1110249,1155070,7069,819399,909637,992200,1084382,6696,289986,350019,407516,452138,4402,271085,253908,408084,464410,4584,7077,14068,20880,28190,89
"G440","Rhode Island","44","440",946725,947154,1003464,1048319,1052567,1052471,0,121795,123150,140083,95173,97524,745238,790809,824534,928119,952101,464291,451251,481496,503635,508400,508521,278,482434,495903,521968,544684,544167,543950,278,31.8,34.1,36.7,39.4,914757,900408,917375,891191,856869,25338,27361,38861,46908,60189,1390,3204,4071,5121,6058,5240,6617,43157,76848,94664,28251,34787,96899,117338,139787,142572,144006,235183,245128,258886,265398,259561,18512,19213,16500,16793,1068,67092,70165,59005,52853,1553,83587,89346,85107,78606,1903,81708,91005,83738,81967,2046,87480,100056,106557,106971,2390,53115,65529,77034,86810,2224,12920,19247,25297,30025,1139,11789,16503,26672,29154,1277,6897,14981,21688,30005,286
"G450","South Carolina","45","450",2590516,3121820,3486703,4012012,4625364,4630351,0,1358321,1432567,1581325,1584888,1557555,649436,1189675,1426739,1873821,2580045,1272087,1518013,1688510,1948929,2250101,2251898,749,1318429,1603807,1798193,2063083,2375263,2378453,749,28.1,32.1,35.4,37.9,1794430,2147825,2406974,2695560,3060000,789041,947969,1039884,1185216,1290684,2241,6744,8246,13718,19524,4804,13370,31599,77568,175221,39950,79935,183364,275004,378573,457883,613775,624230,806037,928206,1072822,1216415,53452,57154,53890,60339,2036,186703,203420,193658,196696,3060,236025,278476,284615,291852,3354,257686,307434,311394,331696,3749,275814,332874,382548,440006,4839,216477,281328,338473,371488,4980,55079,85066,114459,124879,2387,51778,59239,105697,98954,2407,5886,11897,18795,23906,139
"G460","South Dakota","46","460",665507,690768,696004,754844,814180,815871,0,368879,369991,348101,363417,352933,76006,138708,163986,194584,243587,330033,340683,342498,374558,407381,409334,565,335474,350085,353506,380286,406799,406537,565,28.9,32.6,35.6,36.9,630333,639840,637515,669404,699392,1627,2152,3258,4685,10207,32365,45572,50575,62283,71817,1182,1917,4656,8316,15481,10156,17283,73602,82796,93667,99122,109392,160364,177071,180306,194330,206964,30182,33962,32545,36678,1040,82449,77782,80314,81923,1813,58330,64211,76533,80172,1952,38612,48684,59230,69010,1894,27388,34857,49713,63013,1412,16047,21136,29042,34165,1062,3305,6217,9300,11264,721,6049,6634,11815,12502,700,5697,10661,17562,25570,276
"G470","Tennessee","47","470",3923687,4591120,4877185,5689283,6346105,6353226,0,1618380,1817547,1907237,2069265,2132860,1488624,2086494,2218007,2964722,3450715,1897674,2216600,2348928,2770275,3093504,3097568,1046,2026013,2374520,2528257,2919008,3252601,3255658,1046,30.1,33.6,35.9,38.0,3293930,3837968,4048068,4563310,4921948,621261,724808,778035,932809,1057315,2276,7035,10039,15152,19994,6220,15252,41043,114903,236839,63109,110009,369748,494285,584231,662518,823104,1020300,1248433,1348019,1547835,1679177,62729,73788,73643,76352,2059,235208,256151,258796,260216,3760,302688,348095,382474,392528,4642,343808,414611,441464,446563,4912,398709,480328,567380,611444,5406,340394,396956,504461,539895,5420,91860,120042,174982,192016,3429,87664,97122,147706,148511,2613,6213,12255,19393,24294,130
"G480","Texas","48","480",11196730,14229191,16986510,20851820,25145561,25208897,0,2275784,2896174,3351993,3647539,3847522,6917345,9128356,11372246,14795862,18947957,5481169,6998723,8365963,10352910,12472280,12509812,1744,5715561,7230468,8620547,10498910,12673281,12699085,1744,28.2,30.9,32.3,33.6,9717128,11303054,12774762,14799505,17701552,1399005,1704741,2021632,2404566,2979598,17957,50812,65877,118362,170972,62640,134428,2124239,3014754,3614438,514633,679001,938123,1286513,1616761,1956592,2515392,2809850,3677865,4343878,5247794,6237148,258967,274961,277642,340748,4837,854414,906664,942891,1104396,7816,1018529,1166829,1317555,1562222,9744,1101602,1337117,1467945,1744906,10304,1216570,1475098,1759619,2238704,11264,1091619,1395043,1810488,2283112,11692,345204,476462,692006,830702,7425,328468,392933,637705,761712,7346,7205,12904,19617,25809,87
"G490","Utah","49","490",1059273,1461037,1722850,2233169,2763885,2766233,0,207801,227977,223769,262825,260290,733179,1049644,1319551,1748080,2243441,523265,724501,855759,1119031,1388317,1389986,546,536008,736536,867091,1114138,1375568,1376247,546,24.2,26.3,27.1,29.2,1031926,1383997,1615845,1992975,2379560,6617,9691,11576,17657,29287,11273,20103,24283,29684,32927,9457,20224,71146,145658,246593,47195,75518,74441,104606,143937,182447,244657,249244,351508,410862,535294,660234,25441,35377,43896,53397,1642,91030,112479,143317,156739,2461,101850,132929,175060,201635,3052,105655,131876,173076,210031,2938,119616,149115,205880,258258,3243,82697,92667,153717,195306,3451,20358,25647,47093,59955,1638,22728,26038,47484,55635,1484,6305,11029,18185,23794,126
"G500","Vermont","50","500",444330,511456,562758,608827,625741,625498,0,301441,338721,381609,376379,382356,0,76528,87088,105365,108740,217166,249080,275492,298337,308206,308429,322,227164,262376,287266,310490,317535,317069,322,29.4,33.0,37.7,41.5,442553,507052,555088,589208,596292,761,1188,1951,3063,6277,229,1068,1696,2420,2207,787,1640,4023,6801,10212,7335,10753,44377,54013,61306,72547,87277,106296,128460,144895,157763,160360,16391,21318,18209,18269,932,40732,45352,44253,41845,1139,41595,46270,50133,47347,1216,34940,42893,46609,45197,1225,37195,48643,56841,59044,1449,26626,37276,46911,50928,1357,7263,10804,16427,18796,802,6318,7699,14805,15333,653,6178,13527,20625,28846,308
"G510","Virginia","51","510",4648494,5346818,6187358,7078515,8001024,8014955,0,1713653,1817395,1893915,1908560,1963930,2397006,3044467,3829739,4713302,5584039,2297121,2618310,3033974,3471895,3925983,3933820,1239,2351373,2728508,3153384,3606620,4075041,4081135,1239,29.8,32.7,35.7,37.5,3761514,4236345,4791739,5120110,5486852,861368,1008665,1162994,1390293,1551399,4853,10069,15282,21172,29225,20759,70569,217343,403871,700148,143069,233400,349392,479104,628008,749027,948164,1158597,1397516,1629490,1847796,2047188,81625,86099,85207,92888,2489,267218,306761,296082,305641,3721,350061,438363,448126,479944,4840,403751,510464,530128,568411,4743,519028,642817,730763,792690,6374,467090,614787,709821,799454,6838,165373,241470,289734,329092,4404,152192,202679,281892,363583,4480,7478,15713,23975,33326,151
"G530","Washington","53","530",3409169,4132156,4866692,5894121,6724540,6738714,0,932701,1095142,1148744,1063015,1072671,1873418,2621459,3214738,4303803,5041475,1693747,2052307,2413747,2934300,3349707,3360046,609,1715422,2079849,2452945,2959821,3374833,3378668,609,29.8,33.1,35.3,37.3,3251055,3790990,4308937,4821823,5196362,71308,105604,149801,190267,240042,33386,63808,81483,93301,103869,53420,111607,326471,575211,871341,213519,312926,298380,402652,542976,627229,801688,861689,1079038,1264934,1499127,1687455,76664,88322,91132,93841,2443,236841,270797,286517,297824,3876,295553,354747,391606,413315,4760,303954,377232,418990,466884,4893,363997,468665,556799,629323,5316,298912,403943,517085,606096,5401,88948,138760,195343,222333,2728,82780,113823,207177,231535,3655,8073,14923,22973,30661,127
"G540","West Virginia","54","540",1744237,1949644,1793477,1808344,1852994,1850481,0,1064746,1244325,1145293,975564,950184,340614,403378,388840,512427,615254,844669,945408,861536,879170,913586,911142,692,899568,1004236,931941,929174,939408,939339,692,30.4,35.4,38.9,41.3,1673480,1874618,1725523,1718777,1739988,67342,65041,56295,57232,63124,751,2357,2458,3606,3787,2664,5902,9201,12941,18953,15788,27142,188717,230301,256990,264619,288071,451717,529734,500259,504055,502332,25150,29956,28589,32628,1284,92420,90845,83929,86000,1836,111781,113627,110704,110740,2120,112296,113163,112448,112850,2068,123416,121966,134958,141831,2643,106528,98819,117291,119349,2513,39870,37928,49594,51451,1622,46706,36380,63170,65809,1881,6141,10520,16477,22482,208
"G550","Wisconsin","55","550",4417731,4705767,4891769,5363675,5686986,5687219,0,1507313,1685035,1679813,1700032,1697348,2066645,2336665,2464721,2842494,3173382,2167373,2305427,2392935,2649041,2822400,2822271,752,2250358,2400340,2498834,2714634,2864586,2864948,752,29.4,32.9,36.0,38.5,4258959,4446088,4512523,4769857,4902067,128224,183169,244539,304460,359148,18924,30788,39387,47228,54526,11624,22043,95320,175235,266928,66895,104317,434256,516340,601107,651296,742676,1072348,1208094,1275172,1386815,1468917,123871,130968,135194,128193,2346,365184,386108,398697,374612,3521,400106,439464,476569,468315,3907,355367,398660,440637,443945,4077,374261,443436,531628,573872,4405,226601,282678,369375,435262,3797,59387,83031,120028,143855,2033,51308,71179,113181,126558,2255,7243,13276,21271,27426,104
"G560","Wyoming","56","560",332416,469557,453588,493782,563626,562803,0,131305,174918,158953,172438,198633,0,117716,114138,125921,138136,166775,240560,227007,248374,287437,286644,499,165641,228997,226581,245408,276189,276159,499,27.1,32.1,36.2,36.8,323024,446489,427061,454670,511279,2568,3270,3606,3722,4748,4980,8266,9479,11133,13336,1844,2044,13442,15374,21902,8883,12361,28668,35005,44570,54390,67565,84177,121685,119825,130497,146644,17921,19693,22580,24677,1091,52407,50678,56730,61868,1511,47331,48152,54902,64412,1745,33473,33762,35789,43536,1517,19560,18160,21153,29752,1365,15475,13724,17711,21697,936,7118,6777,7757,9110,667,15700,8150,12888,16260,899,7927,12311,19134,28858,366
"G720","Puerto Rico","72","720",,,,,3725789,3716727,0,,,,,232533,,,,,3379977,,,,,1785171,1780705,0,,,,,1940618,1936022,0,,,,36.9,,,,,2825100,,,,,461498,,,,,19839,,,,,297106,,122246,,,,,531916,,,,,1006317,,,,22892,999,,,,75302,1942,,,,122697,2709,,,,162565,2537,,,,192519,3548,,,,249368,3462,,,,88221,2172,,,,141465,2958,,,,10850,69
